HHS,Year,Quarter,Category,Actual_Revenue,Budgeted_Revenue,Variance,Variance_Pct,FY
Cairns and Hinterland,2019,Q3,Medical Imaging (Private),92006.0,87883.0,4123.0,4.69,FY2019/20
Cairns and Hinterland,2019,Q3,Accommodation Fees,44282.0,41857.0,2424.0,5.79,FY2019/20
Cairns and Hinterland,2019,Q3,Equipment Hire,32640.0,30900.0,1741.0,5.63,FY2019/20
Cairns and Hinterland,2019,Q3,Research Grants,74990.0,78695.0,-3706.0,-4.71,FY2019/20
Cairns and Hinterland,2019,Q3,Other Commercial,19396.0,17689.0,1707.0,9.65,FY2019/20
Cairns and Hinterland,2019,Q4,Car Parking,170620.0,174237.0,-3617.0,-2.08,FY2019/20
Cairns and Hinterland,2019,Q4,Cafeteria & Food Services,112722.0,102464.0,10258.0,10.01,FY2019/20
Cairns and Hinterland,2019,Q4,Private Patient Fees,384455.0,372254.0,12201.0,3.28,FY2019/20
Cairns and Hinterland,2019,Q4,Pharmacy Retail,124157.0,134806.0,-10649.0,-7.9,FY2019/20
Cairns and Hinterland,2019,Q4,Medical Imaging (Private),89825.0,89203.0,623.0,0.7,FY2019/20
Cairns and Hinterland,2019,Q4,Accommodation Fees,36745.0,33670.0,3075.0,9.13,FY2019/20
Cairns and Hinterland,2019,Q4,Equipment Hire,29392.0,26617.0,2776.0,10.43,FY2019/20
Cairns and Hinterland,2019,Q4,Research Grants,75095.0,73990.0,1105.0,1.49,FY2019/20
Cairns and Hinterland,2019,Q4,Other Commercial,21040.0,19671.0,1369.0,6.96,FY2019/20
Cairns and Hinterland,2020,Q1,Car Parking,137529.0,142036.0,-4506.0,-3.17,FY2020/21
Cairns and Hinterland,2020,Q1,Cafeteria & Food Services,89312.0,81281.0,8031.0,9.88,FY2020/21
Cairns and Hinterland,2020,Q1,Private Patient Fees,307535.0,312264.0,-4729.0,-1.51,FY2020/21
Cairns and Hinterland,2020,Q1,Pharmacy Retail,97887.0,97892.0,-5.0,-0.01,FY2020/21
Cairns and Hinterland,2020,Q1,Medical Imaging (Private),64834.0,59516.0,5318.0,8.94,FY2020/21
Cairns and Hinterland,2020,Q1,Accommodation Fees,32914.0,31867.0,1047.0,3.29,FY2020/21
Cairns and Hinterland,2020,Q1,Equipment Hire,26516.0,26020.0,495.0,1.9,FY2020/21
Cairns and Hinterland,2020,Q1,Research Grants,51423.0,53632.0,-2208.0,-4.12,FY2020/21
Cairns and Hinterland,2020,Q1,Other Commercial,15271.0,15349.0,-78.0,-0.51,FY2020/21
Cairns and Hinterland,2020,Q2,Car Parking,151478.0,163604.0,-12126.0,-7.41,FY2020/21
Cairns and Hinterland,2020,Q2,Cafeteria & Food Services,85974.0,89006.0,-3032.0,-3.41,FY2020/21
Cairns and Hinterland,2020,Q2,Private Patient Fees,293313.0,319472.0,-26159.0,-8.19,FY2020/21
Cairns and Hinterland,2020,Q2,Pharmacy Retail,91684.0,82536.0,9148.0,11.08,FY2020/21
Cairns and Hinterland,2020,Q2,Medical Imaging (Private),68349.0,64492.0,3856.0,5.98,FY2020/21
Cairns and Hinterland,2020,Q2,Accommodation Fees,33384.0,34277.0,-893.0,-2.6,FY2020/21
Cairns and Hinterland,2020,Q2,Equipment Hire,24643.0,22258.0,2384.0,10.71,FY2020/21
Cairns and Hinterland,2020,Q2,Research Grants,59326.0,57232.0,2094.0,3.66,FY2020/21
Cairns and Hinterland,2020,Q2,Other Commercial,16705.0,16894.0,-189.0,-1.12,FY2020/21
Cairns and Hinterland,2020,Q3,Car Parking,139154.0,128984.0,10170.0,7.88,FY2020/21
Cairns and Hinterland,2020,Q3,Cafeteria & Food Services,72520.0,77328.0,-4808.0,-6.22,FY2020/21
Cairns and Hinterland,2020,Q3,Private Patient Fees,309426.0,318695.0,-9270.0,-2.91,FY2020/21
Cairns and Hinterland,2020,Q3,Pharmacy Retail,87232.0,85523.0,1709.0,2.0,FY2020/21
Cairns and Hinterland,2020,Q3,Medical Imaging (Private),76279.0,80548.0,-4269.0,-5.3,FY2020/21
Cairns and Hinterland,2020,Q3,Accommodation Fees,29191.0,26272.0,2919.0,11.11,FY2020/21
Cairns and Hinterland,2020,Q3,Equipment Hire,25329.0,24603.0,726.0,2.95,FY2020/21
Cairns and Hinterland,2020,Q3,Research Grants,52924.0,47768.0,5156.0,10.79,FY2020/21
Cairns and Hinterland,2020,Q3,Other Commercial,16223.0,17363.0,-1139.0,-6.56,FY2020/21
Cairns and Hinterland,2020,Q4,Car Parking,160495.0,162605.0,-2110.0,-1.3,FY2020/21
Cairns and Hinterland,2020,Q4,Cafeteria & Food Services,80619.0,73928.0,6690.0,9.05,FY2020/21
Cairns and Hinterland,2020,Q4,Private Patient Fees,284488.0,277659.0,6829.0,2.46,FY2020/21
Cairns and Hinterland,2020,Q4,Pharmacy Retail,98887.0,96686.0,2201.0,2.28,FY2020/21
Cairns and Hinterland,2020,Q4,Medical Imaging (Private),67799.0,62307.0,5492.0,8.81,FY2020/21
Cairns and Hinterland,2020,Q4,Accommodation Fees,30709.0,28231.0,2477.0,8.77,FY2020/21
Cairns and Hinterland,2020,Q4,Equipment Hire,22233.0,24400.0,-2167.0,-8.88,FY2020/21
Cairns and Hinterland,2020,Q4,Research Grants,55484.0,55837.0,-354.0,-0.63,FY2020/21
Cairns and Hinterland,2020,Q4,Other Commercial,17509.0,19244.0,-1735.0,-9.02,FY2020/21
Cairns and Hinterland,2021,Q1,Car Parking,178087.0,189216.0,-11129.0,-5.88,FY2021/22
Cairns and Hinterland,2021,Q1,Cafeteria & Food Services,92982.0,89369.0,3612.0,4.04,FY2021/22
Cairns and Hinterland,2021,Q1,Private Patient Fees,331611.0,343052.0,-11441.0,-3.34,FY2021/22
Cairns and Hinterland,2021,Q1,Pharmacy Retail,121504.0,117014.0,4490.0,3.84,FY2021/22
Cairns and Hinterland,2021,Q1,Medical Imaging (Private),79624.0,81733.0,-2108.0,-2.58,FY2021/22
Cairns and Hinterland,2021,Q1,Accommodation Fees,35343.0,35898.0,-555.0,-1.55,FY2021/22
Cairns and Hinterland,2021,Q1,Equipment Hire,30454.0,31676.0,-1222.0,-3.86,FY2021/22
Cairns and Hinterland,2021,Q1,Research Grants,72039.0,77411.0,-5372.0,-6.94,FY2021/22
Cairns and Hinterland,2021,Q1,Other Commercial,19402.0,20296.0,-893.0,-4.4,FY2021/22
Cairns and Hinterland,2021,Q2,Car Parking,179615.0,168358.0,11257.0,6.69,FY2021/22
Cairns and Hinterland,2021,Q2,Cafeteria & Food Services,85968.0,82263.0,3705.0,4.5,FY2021/22
Cairns and Hinterland,2021,Q2,Private Patient Fees,334897.0,342741.0,-7844.0,-2.29,FY2021/22
Cairns and Hinterland,2021,Q2,Pharmacy Retail,126191.0,118525.0,7666.0,6.47,FY2021/22
Cairns and Hinterland,2021,Q2,Medical Imaging (Private),79464.0,86830.0,-7366.0,-8.48,FY2021/22
Cairns and Hinterland,2021,Q2,Accommodation Fees,35154.0,35003.0,151.0,0.43,FY2021/22
Cairns and Hinterland,2021,Q2,Equipment Hire,29701.0,29947.0,-246.0,-0.82,FY2021/22
Cairns and Hinterland,2021,Q2,Research Grants,61161.0,55743.0,5419.0,9.72,FY2021/22
Cairns and Hinterland,2021,Q2,Other Commercial,17565.0,17866.0,-301.0,-1.68,FY2021/22
Cairns and Hinterland,2021,Q3,Car Parking,176479.0,167081.0,9398.0,5.62,FY2021/22
Cairns and Hinterland,2021,Q3,Cafeteria & Food Services,100219.0,106634.0,-6415.0,-6.02,FY2021/22
Cairns and Hinterland,2021,Q3,Private Patient Fees,302183.0,302070.0,113.0,0.04,FY2021/22
Cairns and Hinterland,2021,Q3,Pharmacy Retail,121703.0,115674.0,6029.0,5.21,FY2021/22
Cairns and Hinterland,2021,Q3,Medical Imaging (Private),83282.0,85175.0,-1893.0,-2.22,FY2021/22
Cairns and Hinterland,2021,Q3,Accommodation Fees,42510.0,45145.0,-2635.0,-5.84,FY2021/22
Cairns and Hinterland,2021,Q3,Equipment Hire,29684.0,31051.0,-1367.0,-4.4,FY2021/22
Cairns and Hinterland,2021,Q3,Research Grants,65705.0,67557.0,-1852.0,-2.74,FY2021/22
Cairns and Hinterland,2021,Q3,Other Commercial,19245.0,18051.0,1193.0,6.61,FY2021/22
Cairns and Hinterland,2021,Q4,Car Parking,183075.0,185142.0,-2067.0,-1.12,FY2021/22
Cairns and Hinterland,2021,Q4,Cafeteria & Food Services,93720.0,101430.0,-7710.0,-7.6,FY2021/22
Cairns and Hinterland,2021,Q4,Private Patient Fees,300500.0,289428.0,11072.0,3.83,FY2021/22
Cairns and Hinterland,2021,Q4,Pharmacy Retail,104033.0,109579.0,-5546.0,-5.06,FY2021/22
Cairns and Hinterland,2021,Q4,Medical Imaging (Private),91545.0,88457.0,3088.0,3.49,FY2021/22
Cairns and Hinterland,2021,Q4,Accommodation Fees,40440.0,39599.0,842.0,2.13,FY2021/22
Cairns and Hinterland,2021,Q4,Equipment Hire,30893.0,30610.0,283.0,0.92,FY2021/22
Cairns and Hinterland,2021,Q4,Research Grants,66478.0,72258.0,-5780.0,-8.0,FY2021/22
Cairns and Hinterland,2021,Q4,Other Commercial,18242.0,16857.0,1385.0,8.21,FY2021/22
Cairns and Hinterland,2022,Q1,Car Parking,208188.0,227730.0,-19541.0,-8.58,FY2022/23
Cairns and Hinterland,2022,Q1,Cafeteria & Food Services,110036.0,100398.0,9638.0,9.6,FY2022/23
Cairns and Hinterland,2022,Q1,Private Patient Fees,381458.0,381911.0,-453.0,-0.12,FY2022/23
Cairns and Hinterland,2022,Q1,Pharmacy Retail,124995.0,128947.0,-3952.0,-3.07,FY2022/23
Cairns and Hinterland,2022,Q1,Medical Imaging (Private),114212.0,113109.0,1102.0,0.97,FY2022/23
Cairns and Hinterland,2022,Q1,Accommodation Fees,43763.0,42894.0,869.0,2.03,FY2022/23
Cairns and Hinterland,2022,Q1,Equipment Hire,30867.0,33233.0,-2366.0,-7.12,FY2022/23
Cairns and Hinterland,2022,Q1,Research Grants,77730.0,75977.0,1752.0,2.31,FY2022/23
Cairns and Hinterland,2022,Q1,Other Commercial,23541.0,23268.0,273.0,1.17,FY2022/23
Cairns and Hinterland,2022,Q2,Car Parking,211307.0,192773.0,18534.0,9.61,FY2022/23
Cairns and Hinterland,2022,Q2,Cafeteria & Food Services,121895.0,132634.0,-10739.0,-8.1,FY2022/23
Cairns and Hinterland,2022,Q2,Private Patient Fees,410926.0,448284.0,-37359.0,-8.33,FY2022/23
Cairns and Hinterland,2022,Q2,Pharmacy Retail,124652.0,124089.0,563.0,0.45,FY2022/23
Cairns and Hinterland,2022,Q2,Medical Imaging (Private),104517.0,106225.0,-1709.0,-1.61,FY2022/23
Cairns and Hinterland,2022,Q2,Accommodation Fees,44272.0,42838.0,1434.0,3.35,FY2022/23
Cairns and Hinterland,2022,Q2,Equipment Hire,30962.0,30292.0,670.0,2.21,FY2022/23
Cairns and Hinterland,2022,Q2,Research Grants,72928.0,76346.0,-3418.0,-4.48,FY2022/23
Cairns and Hinterland,2022,Q2,Other Commercial,21088.0,19226.0,1862.0,9.68,FY2022/23
Cairns and Hinterland,2022,Q3,Car Parking,206612.0,210548.0,-3935.0,-1.87,FY2022/23
Cairns and Hinterland,2022,Q3,Cafeteria & Food Services,123478.0,125380.0,-1901.0,-1.52,FY2022/23
Cairns and Hinterland,2022,Q3,Private Patient Fees,382046.0,405199.0,-23153.0,-5.71,FY2022/23
Cairns and Hinterland,2022,Q3,Pharmacy Retail,137347.0,125790.0,11557.0,9.19,FY2022/23
Cairns and Hinterland,2022,Q3,Medical Imaging (Private),103636.0,112094.0,-8457.0,-7.54,FY2022/23
Cairns and Hinterland,2022,Q3,Accommodation Fees,44216.0,42414.0,1801.0,4.25,FY2022/23
Cairns and Hinterland,2022,Q3,Equipment Hire,31098.0,28930.0,2168.0,7.49,FY2022/23
Cairns and Hinterland,2022,Q3,Research Grants,78072.0,79566.0,-1494.0,-1.88,FY2022/23
Cairns and Hinterland,2022,Q3,Other Commercial,20390.0,22183.0,-1793.0,-8.08,FY2022/23
Cairns and Hinterland,2022,Q4,Car Parking,216542.0,220294.0,-3752.0,-1.7,FY2022/23
Cairns and Hinterland,2022,Q4,Cafeteria & Food Services,122296.0,112027.0,10268.0,9.17,FY2022/23
Cairns and Hinterland,2022,Q4,Private Patient Fees,394555.0,404820.0,-10266.0,-2.54,FY2022/23
Cairns and Hinterland,2022,Q4,Pharmacy Retail,146762.0,155082.0,-8320.0,-5.37,FY2022/23
Cairns and Hinterland,2022,Q4,Medical Imaging (Private),96565.0,105080.0,-8515.0,-8.1,FY2022/23
Cairns and Hinterland,2022,Q4,Accommodation Fees,41256.0,44351.0,-3095.0,-6.98,FY2022/23
Cairns and Hinterland,2022,Q4,Equipment Hire,37852.0,35408.0,2444.0,6.9,FY2022/23
Cairns and Hinterland,2022,Q4,Research Grants,83581.0,75896.0,7685.0,10.13,FY2022/23
Cairns and Hinterland,2022,Q4,Other Commercial,22157.0,22230.0,-72.0,-0.32,FY2022/23
Cairns and Hinterland,2023,Q1,Car Parking,213722.0,232356.0,-18634.0,-8.02,FY2023/24
Cairns and Hinterland,2023,Q1,Cafeteria & Food Services,121295.0,120841.0,454.0,0.38,FY2023/24
Cairns and Hinterland,2023,Q1,Private Patient Fees,437980.0,477444.0,-39465.0,-8.27,FY2023/24
Cairns and Hinterland,2023,Q1,Pharmacy Retail,123743.0,135685.0,-11942.0,-8.8,FY2023/24
Cairns and Hinterland,2023,Q1,Medical Imaging (Private),94419.0,100356.0,-5937.0,-5.92,FY2023/24
Cairns and Hinterland,2023,Q1,Accommodation Fees,44136.0,40889.0,3247.0,7.94,FY2023/24
Cairns and Hinterland,2023,Q1,Equipment Hire,34440.0,35431.0,-992.0,-2.8,FY2023/24
Cairns and Hinterland,2023,Q1,Research Grants,79206.0,72150.0,7056.0,9.78,FY2023/24
Cairns and Hinterland,2023,Q1,Other Commercial,23852.0,25772.0,-1920.0,-7.45,FY2023/24
Cairns and Hinterland,2023,Q2,Car Parking,203787.0,192226.0,11562.0,6.01,FY2023/24
Cairns and Hinterland,2023,Q2,Cafeteria & Food Services,114875.0,104498.0,10376.0,9.93,FY2023/24
Cairns and Hinterland,2023,Q2,Private Patient Fees,439038.0,467693.0,-28655.0,-6.13,FY2023/24
Cairns and Hinterland,2023,Q2,Pharmacy Retail,142728.0,138535.0,4193.0,3.03,FY2023/24
Cairns and Hinterland,2023,Q2,Medical Imaging (Private),112374.0,113604.0,-1229.0,-1.08,FY2023/24
Cairns and Hinterland,2023,Q2,Accommodation Fees,50237.0,51557.0,-1321.0,-2.56,FY2023/24
Cairns and Hinterland,2023,Q2,Equipment Hire,37329.0,38065.0,-736.0,-1.93,FY2023/24
Cairns and Hinterland,2023,Q2,Research Grants,79856.0,87170.0,-7314.0,-8.39,FY2023/24
Cairns and Hinterland,2023,Q2,Other Commercial,23526.0,24020.0,-494.0,-2.06,FY2023/24
Cairns and Hinterland,2023,Q3,Car Parking,195599.0,200515.0,-4915.0,-2.45,FY2023/24
Cairns and Hinterland,2023,Q3,Cafeteria & Food Services,118482.0,111014.0,7468.0,6.73,FY2023/24
Cairns and Hinterland,2023,Q3,Private Patient Fees,364589.0,372198.0,-7610.0,-2.04,FY2023/24
Cairns and Hinterland,2023,Q3,Pharmacy Retail,148622.0,149317.0,-696.0,-0.47,FY2023/24
Cairns and Hinterland,2023,Q3,Medical Imaging (Private),97958.0,101220.0,-3262.0,-3.22,FY2023/24
Cairns and Hinterland,2023,Q3,Accommodation Fees,41897.0,41409.0,487.0,1.18,FY2023/24
Cairns and Hinterland,2023,Q3,Equipment Hire,32121.0,30094.0,2027.0,6.74,FY2023/24
Cairns and Hinterland,2023,Q3,Research Grants,75710.0,73995.0,1715.0,2.32,FY2023/24
Cairns and Hinterland,2023,Q3,Other Commercial,20786.0,20362.0,425.0,2.09,FY2023/24
Cairns and Hinterland,2023,Q4,Car Parking,210253.0,209551.0,702.0,0.34,FY2023/24
Cairns and Hinterland,2023,Q4,Cafeteria & Food Services,113203.0,120882.0,-7678.0,-6.35,FY2023/24
Cairns and Hinterland,2023,Q4,Private Patient Fees,372978.0,373403.0,-425.0,-0.11,FY2023/24
Cairns and Hinterland,2023,Q4,Pharmacy Retail,125084.0,114356.0,10728.0,9.38,FY2023/24
Cairns and Hinterland,2023,Q4,Medical Imaging (Private),106690.0,108099.0,-1409.0,-1.3,FY2023/24
Cairns and Hinterland,2023,Q4,Accommodation Fees,50819.0,51407.0,-588.0,-1.14,FY2023/24
Cairns and Hinterland,2023,Q4,Equipment Hire,38800.0,35298.0,3502.0,9.92,FY2023/24
Cairns and Hinterland,2023,Q4,Research Grants,73670.0,66952.0,6718.0,10.03,FY2023/24
Cairns and Hinterland,2023,Q4,Other Commercial,21536.0,21714.0,-178.0,-0.82,FY2023/24
Cairns and Hinterland,2024,Q1,Car Parking,222801.0,202552.0,20249.0,10.0,FY2024/25
Cairns and Hinterland,2024,Q1,Cafeteria & Food Services,132401.0,141462.0,-9061.0,-6.4,FY2024/25
Cairns and Hinterland,2024,Q1,Private Patient Fees,398167.0,364497.0,33670.0,9.24,FY2024/25
Cairns and Hinterland,2024,Q1,Pharmacy Retail,132149.0,122290.0,9860.0,8.06,FY2024/25
Cairns and Hinterland,2024,Q1,Medical Imaging (Private),97908.0,98272.0,-363.0,-0.37,FY2024/25
Cairns and Hinterland,2024,Q1,Accommodation Fees,44922.0,43647.0,1275.0,2.92,FY2024/25
Cairns and Hinterland,2024,Q1,Equipment Hire,40095.0,41573.0,-1478.0,-3.56,FY2024/25
Cairns and Hinterland,2024,Q1,Research Grants,92741.0,86111.0,6630.0,7.7,FY2024/25
Cairns and Hinterland,2024,Q1,Other Commercial,23243.0,23498.0,-254.0,-1.08,FY2024/25
Cairns and Hinterland,2024,Q2,Car Parking,193412.0,174233.0,19179.0,11.01,FY2024/25
Cairns and Hinterland,2024,Q2,Cafeteria & Food Services,124492.0,128023.0,-3531.0,-2.76,FY2024/25
Cairns and Hinterland,2024,Q2,Private Patient Fees,409637.0,408789.0,848.0,0.21,FY2024/25
Cairns and Hinterland,2024,Q2,Pharmacy Retail,140607.0,127222.0,13386.0,10.52,FY2024/25
Cairns and Hinterland,2024,Q2,Medical Imaging (Private),103387.0,96710.0,6677.0,6.9,FY2024/25
Cairns and Hinterland,2024,Q2,Accommodation Fees,43229.0,47178.0,-3949.0,-8.37,FY2024/25
Cairns and Hinterland,2024,Q2,Equipment Hire,36736.0,38416.0,-1680.0,-4.37,FY2024/25
Cairns and Hinterland,2024,Q2,Research Grants,80010.0,78300.0,1710.0,2.18,FY2024/25
Cairns and Hinterland,2024,Q2,Other Commercial,22410.0,20603.0,1806.0,8.77,FY2024/25
Cairns and Hinterland,2024,Q3,Car Parking,198696.0,210519.0,-11823.0,-5.62,FY2024/25
Cairns and Hinterland,2024,Q3,Cafeteria & Food Services,124696.0,125867.0,-1170.0,-0.93,FY2024/25
Cairns and Hinterland,2024,Q3,Private Patient Fees,416097.0,451252.0,-35155.0,-7.79,FY2024/25
Cairns and Hinterland,2024,Q3,Pharmacy Retail,128803.0,123151.0,5652.0,4.59,FY2024/25
Cairns and Hinterland,2024,Q3,Medical Imaging (Private),103763.0,109624.0,-5861.0,-5.35,FY2024/25
Cairns and Hinterland,2024,Q3,Accommodation Fees,53495.0,50720.0,2775.0,5.47,FY2024/25
Cairns and Hinterland,2024,Q3,Equipment Hire,39103.0,41689.0,-2586.0,-6.2,FY2024/25
Cairns and Hinterland,2024,Q3,Research Grants,78188.0,76613.0,1574.0,2.05,FY2024/25
Cairns and Hinterland,2024,Q3,Other Commercial,23401.0,25640.0,-2238.0,-8.73,FY2024/25
Cairns and Hinterland,2024,Q4,Car Parking,198793.0,210687.0,-11894.0,-5.65,FY2024/25
Cairns and Hinterland,2024,Q4,Cafeteria & Food Services,114841.0,120143.0,-5303.0,-4.41,FY2024/25
Cairns and Hinterland,2024,Q4,Private Patient Fees,410564.0,416998.0,-6434.0,-1.54,FY2024/25
Cairns and Hinterland,2024,Q4,Pharmacy Retail,154977.0,164404.0,-9428.0,-5.73,FY2024/25
Cairns and Hinterland,2024,Q4,Medical Imaging (Private),117106.0,106792.0,10314.0,9.66,FY2024/25
Cairns and Hinterland,2024,Q4,Accommodation Fees,50045.0,46442.0,3603.0,7.76,FY2024/25
Cairns and Hinterland,2024,Q4,Equipment Hire,35155.0,35497.0,-342.0,-0.96,FY2024/25
Cairns and Hinterland,2024,Q4,Research Grants,81766.0,82086.0,-321.0,-0.39,FY2024/25
Cairns and Hinterland,2024,Q4,Other Commercial,26770.0,24817.0,1953.0,7.87,FY2024/25
Townsville,2019,Q1,Car Parking,217592.0,213067.0,4526.0,2.12,FY2019/20
Townsville,2019,Q1,Cafeteria & Food Services,105783.0,98563.0,7220.0,7.33,FY2019/20
Townsville,2019,Q1,Private Patient Fees,449777.0,483924.0,-34147.0,-7.06,FY2019/20
Townsville,2019,Q1,Pharmacy Retail,152798.0,167820.0,-15021.0,-8.95,FY2019/20
Townsville,2019,Q1,Medical Imaging (Private),97092.0,94284.0,2807.0,2.98,FY2019/20
Townsville,2019,Q1,Accommodation Fees,48284.0,48128.0,156.0,0.33,FY2019/20
Townsville,2019,Q1,Equipment Hire,34118.0,33148.0,970.0,2.93,FY2019/20
Townsville,2019,Q1,Research Grants,83028.0,84283.0,-1255.0,-1.49,FY2019/20
Townsville,2019,Q1,Other Commercial,21315.0,21195.0,120.0,0.57,FY2019/20
Townsville,2019,Q2,Car Parking,211480.0,214452.0,-2973.0,-1.39,FY2019/20
Townsville,2019,Q2,Cafeteria & Food Services,107929.0,113159.0,-5230.0,-4.62,FY2019/20
Townsville,2019,Q2,Private Patient Fees,359735.0,349291.0,10444.0,2.99,FY2019/20
Townsville,2019,Q2,Pharmacy Retail,148561.0,150460.0,-1898.0,-1.26,FY2019/20
Townsville,2019,Q2,Medical Imaging (Private),98416.0,102253.0,-3837.0,-3.75,FY2019/20
Townsville,2019,Q2,Accommodation Fees,47150.0,49944.0,-2794.0,-5.59,FY2019/20
Townsville,2019,Q2,Equipment Hire,36763.0,37573.0,-810.0,-2.15,FY2019/20
Townsville,2019,Q2,Research Grants,80970.0,75029.0,5940.0,7.92,FY2019/20
Townsville,2019,Q2,Other Commercial,21871.0,21517.0,354.0,1.64,FY2019/20
Townsville,2019,Q3,Car Parking,213776.0,214362.0,-586.0,-0.27,FY2019/20
Townsville,2019,Q3,Cafeteria & Food Services,110103.0,99235.0,10868.0,10.95,FY2019/20
Townsville,2019,Q3,Private Patient Fees,405634.0,388242.0,17391.0,4.48,FY2019/20
Townsville,2019,Q3,Pharmacy Retail,147038.0,133038.0,14000.0,10.52,FY2019/20
Townsville,2019,Q3,Medical Imaging (Private),106525.0,115931.0,-9406.0,-8.11,FY2019/20
Townsville,2019,Q3,Accommodation Fees,42774.0,42532.0,243.0,0.57,FY2019/20
Townsville,2019,Q3,Equipment Hire,31388.0,32177.0,-789.0,-2.45,FY2019/20
Townsville,2019,Q3,Research Grants,82185.0,80662.0,1523.0,1.89,FY2019/20
Townsville,2019,Q3,Other Commercial,23319.0,25169.0,-1850.0,-7.35,FY2019/20
Townsville,2019,Q4,Car Parking,193581.0,175096.0,18484.0,10.56,FY2019/20
Townsville,2019,Q4,Cafeteria & Food Services,126069.0,128013.0,-1944.0,-1.52,FY2019/20
Townsville,2019,Q4,Private Patient Fees,444066.0,452676.0,-8610.0,-1.9,FY2019/20
Townsville,2019,Q4,Pharmacy Retail,149562.0,147458.0,2104.0,1.43,FY2019/20
Townsville,2019,Q4,Medical Imaging (Private),110660.0,119802.0,-9141.0,-7.63,FY2019/20
Townsville,2019,Q4,Accommodation Fees,47203.0,44190.0,3014.0,6.82,FY2019/20
Townsville,2019,Q4,Equipment Hire,32869.0,30888.0,1981.0,6.41,FY2019/20
Townsville,2019,Q4,Research Grants,76267.0,73314.0,2953.0,4.03,FY2019/20
Townsville,2019,Q4,Other Commercial,23507.0,23921.0,-414.0,-1.73,FY2019/20
Townsville,2020,Q1,Car Parking,158453.0,162110.0,-3658.0,-2.26,FY2020/21
Townsville,2020,Q1,Cafeteria & Food Services,80611.0,73965.0,6646.0,8.98,FY2020/21
Townsville,2020,Q1,Private Patient Fees,288933.0,289977.0,-1045.0,-0.36,FY2020/21
Townsville,2020,Q1,Pharmacy Retail,100151.0,95810.0,4341.0,4.53,FY2020/21
Townsville,2020,Q1,Medical Imaging (Private),78719.0,83629.0,-4910.0,-5.87,FY2020/21
Townsville,2020,Q1,Accommodation Fees,31662.0,32608.0,-946.0,-2.9,FY2020/21
Townsville,2020,Q1,Equipment Hire,27973.0,29643.0,-1671.0,-5.64,FY2020/21
Townsville,2020,Q1,Research Grants,69242.0,62597.0,6645.0,10.62,FY2020/21
Townsville,2020,Q1,Other Commercial,16433.0,17702.0,-1269.0,-7.17,FY2020/21
Townsville,2020,Q2,Car Parking,159692.0,161755.0,-2063.0,-1.28,FY2020/21
Townsville,2020,Q2,Cafeteria & Food Services,93116.0,96451.0,-3335.0,-3.46,FY2020/21
Townsville,2020,Q2,Private Patient Fees,346133.0,380535.0,-34402.0,-9.04,FY2020/21
Townsville,2020,Q2,Pharmacy Retail,113214.0,108396.0,4818.0,4.44,FY2020/21
