HHS,Year,Quarter,Care_Type,NWA_Units,NWA_Price,ABF_Funded_Amt,Actual_Cost,Variance,Variance_Pct,FY
Townsville,2019,Q4,Mental Health,2340.3,5012,11729803.0,11374769.0,355034.0,3.03,FY2019/20
Townsville,2019,Q4,Maternity,1344.7,5012,6739499.0,6449188.0,290311.0,4.31,FY2019/20
Townsville,2020,Q1,Admitted Acute,13822.9,5127,70869757.0,75803840.0,-4934083.0,-6.96,FY2020/21
Townsville,2020,Q1,Admitted Subacute,2930.6,5127,15025263.0,14523897.0,501366.0,3.34,FY2020/21
Townsville,2020,Q1,Emergency Department,7183.8,5127,36831344.0,37954339.0,-1122995.0,-3.05,FY2020/21
Townsville,2020,Q1,Outpatient,5577.8,5127,28597422.0,29276748.0,-679325.0,-2.38,FY2020/21
Townsville,2020,Q1,Mental Health,2251.7,5127,11544241.0,12175648.0,-631407.0,-5.47,FY2020/21
Townsville,2020,Q1,Maternity,1336.2,5127,6850545.0,6560778.0,289767.0,4.23,FY2020/21
Townsville,2020,Q2,Admitted Acute,12816.6,5127,65710756.0,69416592.0,-3705836.0,-5.64,FY2020/21
Townsville,2020,Q2,Admitted Subacute,2944.3,5127,15095178.0,16538327.0,-1443148.0,-9.56,FY2020/21
Townsville,2020,Q2,Emergency Department,7376.1,5127,37817258.0,36973890.0,843368.0,2.23,FY2020/21
Townsville,2020,Q2,Outpatient,5481.2,5127,28101906.0,29765856.0,-1663950.0,-5.92,FY2020/21
Townsville,2020,Q2,Mental Health,2115.4,5127,10845798.0,11383553.0,-537755.0,-4.96,FY2020/21
Townsville,2020,Q2,Maternity,1400.0,5127,7177925.0,7521249.0,-343325.0,-4.78,FY2020/21
Townsville,2020,Q3,Admitted Acute,12845.0,5127,65856212.0,69765371.0,-3909159.0,-5.94,FY2020/21
Townsville,2020,Q3,Admitted Subacute,2923.1,5127,14986829.0,15627589.0,-640760.0,-4.28,FY2020/21
Townsville,2020,Q3,Emergency Department,7701.6,5127,39485871.0,40103330.0,-617458.0,-1.56,FY2020/21
Townsville,2020,Q3,Outpatient,6319.8,5127,32401859.0,35768723.0,-3366864.0,-10.39,FY2020/21
Townsville,2020,Q3,Mental Health,2177.4,5127,11163633.0,10737086.0,426547.0,3.82,FY2020/21
Townsville,2020,Q3,Maternity,1224.4,5127,6277279.0,5982861.0,294419.0,4.69,FY2020/21
Townsville,2020,Q4,Admitted Acute,12230.3,5127,62704826.0,66850314.0,-4145488.0,-6.61,FY2020/21
Townsville,2020,Q4,Admitted Subacute,2740.9,5127,14052449.0,14111833.0,-59384.0,-0.42,FY2020/21
Townsville,2020,Q4,Emergency Department,7590.4,5127,38915904.0,37124069.0,1791835.0,4.6,FY2020/21
Townsville,2020,Q4,Outpatient,6181.7,5127,31693479.0,31627408.0,66071.0,0.21,FY2020/21
Townsville,2020,Q4,Mental Health,2149.0,5127,11017884.0,11772006.0,-754123.0,-6.84,FY2020/21
Townsville,2020,Q4,Maternity,1334.9,5127,6843946.0,7522661.0,-678716.0,-9.92,FY2020/21
Townsville,2021,Q1,Admitted Acute,14849.8,5234,77723723.0,84453957.0,-6730234.0,-8.66,FY2021/22
Townsville,2021,Q1,Admitted Subacute,3107.8,5234,16266166.0,15943522.0,322644.0,1.98,FY2021/22
Townsville,2021,Q1,Emergency Department,8187.0,5234,42850508.0,46585440.0,-3734932.0,-8.72,FY2021/22
Townsville,2021,Q1,Outpatient,6945.6,5234,36353298.0,37085635.0,-732337.0,-2.01,FY2021/22
Townsville,2021,Q1,Mental Health,2453.2,5234,12840192.0,13892962.0,-1052770.0,-8.2,FY2021/22
Townsville,2021,Q1,Maternity,1394.7,5234,7299842.0,8089895.0,-790053.0,-10.82,FY2021/22
Townsville,2021,Q2,Admitted Acute,15132.2,5234,79201976.0,81017997.0,-1816021.0,-2.29,FY2021/22
Townsville,2021,Q2,Admitted Subacute,3349.3,5234,17530444.0,18902592.0,-1372148.0,-7.83,FY2021/22
Townsville,2021,Q2,Emergency Department,7371.5,5234,38582402.0,42573134.0,-3990732.0,-10.34,FY2021/22
Townsville,2021,Q2,Outpatient,6445.6,5234,33736203.0,36789255.0,-3053051.0,-9.05,FY2021/22
Townsville,2021,Q2,Mental Health,2432.4,5234,12731194.0,14032818.0,-1301624.0,-10.22,FY2021/22
Townsville,2021,Q2,Maternity,1405.8,5234,7357847.0,7003511.0,354336.0,4.82,FY2021/22
Townsville,2021,Q3,Admitted Acute,15239.8,5234,79764903.0,77014508.0,2750395.0,3.45,FY2021/22
Townsville,2021,Q3,Admitted Subacute,3127.0,5234,16366694.0,18191752.0,-1825059.0,-11.15,FY2021/22
Townsville,2021,Q3,Emergency Department,8438.8,5234,44168810.0,46266142.0,-2097331.0,-4.75,FY2021/22
Townsville,2021,Q3,Outpatient,6576.0,5234,34418908.0,35321914.0,-903005.0,-2.62,FY2021/22
Townsville,2021,Q3,Mental Health,2421.6,5234,12674903.0,12749342.0,-74439.0,-0.59,FY2021/22
Townsville,2021,Q3,Maternity,1470.7,5234,7697403.0,8297059.0,-599656.0,-7.79,FY2021/22
Townsville,2021,Q4,Admitted Acute,14979.2,5234,78400972.0,85005085.0,-6604113.0,-8.42,FY2021/22
Townsville,2021,Q4,Admitted Subacute,3009.5,5234,15751572.0,16287936.0,-536364.0,-3.41,FY2021/22
Townsville,2021,Q4,Emergency Department,7314.1,5234,38282048.0,39944251.0,-1662203.0,-4.34,FY2021/22
Townsville,2021,Q4,Outpatient,6379.9,5234,33392535.0,36762166.0,-3369631.0,-10.09,FY2021/22
Townsville,2021,Q4,Mental Health,2444.8,5234,12795931.0,12410791.0,385140.0,3.01,FY2021/22
Townsville,2021,Q4,Maternity,1349.4,5234,7062764.0,7623948.0,-561185.0,-7.95,FY2021/22
Townsville,2022,Q1,Admitted Acute,15882.3,5389,85589908.0,82781776.0,2808132.0,3.28,FY2022/23
Townsville,2022,Q1,Admitted Subacute,3273.8,5389,17642557.0,18862800.0,-1220243.0,-6.92,FY2022/23
Townsville,2022,Q1,Emergency Department,7987.1,5389,43042396.0,46903996.0,-3861601.0,-8.97,FY2022/23
Townsville,2022,Q1,Outpatient,7245.8,5389,39047835.0,37635447.0,1412388.0,3.62,FY2022/23
Townsville,2022,Q1,Mental Health,2546.6,5389,13723708.0,15339382.0,-1615675.0,-11.77,FY2022/23
Townsville,2022,Q1,Maternity,1527.4,5389,8231122.0,8338202.0,-107080.0,-1.3,FY2022/23
Townsville,2022,Q2,Admitted Acute,16367.6,5389,88205116.0,97998729.0,-9793613.0,-11.1,FY2022/23
Townsville,2022,Q2,Admitted Subacute,3779.9,5389,20369919.0,21960286.0,-1590367.0,-7.81,FY2022/23
Townsville,2022,Q2,Emergency Department,8403.4,5389,45285870.0,43664415.0,1621455.0,3.58,FY2022/23
Townsville,2022,Q2,Outpatient,7325.4,5389,39476672.0,41250309.0,-1773636.0,-4.49,FY2022/23
Townsville,2022,Q2,Mental Health,2694.7,5389,14521950.0,16033398.0,-1511448.0,-10.41,FY2022/23
Townsville,2022,Q2,Maternity,1461.8,5389,7877547.0,8143385.0,-265838.0,-3.37,FY2022/23
Townsville,2022,Q3,Admitted Acute,14368.8,5389,77433549.0,79731182.0,-2297632.0,-2.97,FY2022/23
