HHS,Category,Year,Actual,Budget,Variance,Variance_Pct
Cairns and Hinterland,Pharmacy Retail,2019,518335.0,520609.0,-2273.0,-0.44
Cairns and Hinterland,Pharmacy Retail,2020,375690.0,362637.0,13053.0,3.6
Cairns and Hinterland,Pharmacy Retail,2021,473431.0,460792.0,12639.0,2.74
Cairns and Hinterland,Pharmacy Retail,2022,533756.0,533908.0,-152.0,-0.03
Cairns and Hinterland,Pharmacy Retail,2023,540177.0,537893.0,2283.0,0.42
Cairns and Hinterland,Pharmacy Retail,2024,556536.0,537067.0,19470.0,3.63
Cairns and Hinterland,Private Patient Fees,2019,1550802.0,1532536.0,18265.0,1.19
Cairns and Hinterland,Private Patient Fees,2020,1194762.0,1228090.0,-33329.0,-2.71
Cairns and Hinterland,Private Patient Fees,2021,1269191.0,1277291.0,-8100.0,-0.63
Cairns and Hinterland,Private Patient Fees,2022,1568985.0,1640214.0,-71231.0,-4.34
Cairns and Hinterland,Private Patient Fees,2023,1614585.0,1690738.0,-76155.0,-4.5
Cairns and Hinterland,Private Patient Fees,2024,1634465.0,1641536.0,-7071.0,-0.43
Cairns and Hinterland,Research Grants,2019,299107.0,296314.0,2792.0,0.94
Cairns and Hinterland,Research Grants,2020,219157.0,214469.0,4688.0,2.19
Cairns and Hinterland,Research Grants,2021,265383.0,272969.0,-7585.0,-2.78
Cairns and Hinterland,Research Grants,2022,312311.0,307785.0,4525.0,1.47
Cairns and Hinterland,Research Grants,2023,308442.0,300267.0,8175.0,2.72
Cairns and Hinterland,Research Grants,2024,332705.0,323110.0,9593.0,2.97
Central Queensland,Accommodation Fees,2019,141350.0,135747.0,5603.0,4.13
Central Queensland,Accommodation Fees,2020,112267.0,112678.0,-414.0,-0.37
Central Queensland,Accommodation Fees,2021,129795.0,131194.0,-1398.0,-1.07
Central Queensland,Accommodation Fees,2022,155178.0,153829.0,1348.0,0.88
Central Queensland,Accommodation Fees,2023,162483.0,168463.0,-5980.0,-3.55
Central Queensland,Accommodation Fees,2024,160918.0,151503.0,9415.0,6.21
Central Queensland,Cafeteria & Food Services,2019,349532.0,359373.0,-9841.0,-2.74
Central Queensland,Cafeteria & Food Services,2020,264600.0,255710.0,8891.0,3.48
Central Queensland,Cafeteria & Food Services,2021,313427.0,317066.0,-3638.0,-1.15
Central Queensland,Cafeteria & Food Services,2022,397315.0,391258.0,6057.0,1.55
Central Queensland,Cafeteria & Food Services,2023,406327.0,424834.0,-18506.0,-4.36
Central Queensland,Cafeteria & Food Services,2024,413901.0,421246.0,-7345.0,-1.74
Central Queensland,Car Parking,2019,635551.0,648486.0,-12936.0,-1.99
Central Queensland,Car Parking,2020,514468.0,501078.0,13389.0,2.67
Central Queensland,Car Parking,2021,594542.0,627505.0,-32964.0,-5.25
Central Queensland,Car Parking,2022,675519.0,708029.0,-32512.0,-4.59
Central Queensland,Car Parking,2023,688099.0,684434.0,3665.0,0.54
Central Queensland,Car Parking,2024,755351.0,746212.0,9139.0,1.22
Central Queensland,Equipment Hire,2019,108339.0,109408.0,-1070.0,-0.98
Central Queensland,Equipment Hire,2020,84493.0,86617.0,-2124.0,-2.45
Central Queensland,Equipment Hire,2021,96709.0,99069.0,-2359.0,-2.38
Central Queensland,Equipment Hire,2022,112608.0,111589.0,1019.0,0.91
Central Queensland,Equipment Hire,2023,118442.0,118099.0,345.0,0.29
Central Queensland,Equipment Hire,2024,129086.0,133090.0,-4004.0,-3.01
Central Queensland,Medical Imaging (Private),2019,310496.0,311267.0,-773.0,-0.25
Central Queensland,Medical Imaging (Private),2020,227927.0,233817.0,-5890.0,-2.52
Central Queensland,Medical Imaging (Private),2021,276972.0,269699.0,7272.0,2.7
Central Queensland,Medical Imaging (Private),2022,351391.0,336003.0,15388.0,4.58
Central Queensland,Medical Imaging (Private),2023,368739.0,375659.0,-6922.0,-1.84
Central Queensland,Medical Imaging (Private),2024,361275.0,377082.0,-15806.0,-4.19
Central Queensland,Other Commercial,2019,71775.0,69286.0,2490.0,3.59
Central Queensland,Other Commercial,2020,54682.0,54537.0,144.0,0.26
Central Queensland,Other Commercial,2021,64159.0,65516.0,-1358.0,-2.07
Central Queensland,Other Commercial,2022,74367.0,76710.0,-2342.0,-3.05
Central Queensland,Other Commercial,2023,77548.0,80907.0,-3359.0,-4.15
Central Queensland,Other Commercial,2024,82099.0,82038.0,62.0,0.08
Central Queensland,Pharmacy Retail,2019,412406.0,395694.0,16712.0,4.22
Central Queensland,Pharmacy Retail,2020,326996.0,339979.0,-12985.0,-3.82
Central Queensland,Pharmacy Retail,2021,383357.0,390970.0,-7612.0,-1.95
Central Queensland,Pharmacy Retail,2022,480233.0,481923.0,-1690.0,-0.35
Central Queensland,Pharmacy Retail,2023,469065.0,446357.0,22708.0,5.09
Central Queensland,Pharmacy Retail,2024,499627.0,470461.0,29165.0,6.2
Central Queensland,Private Patient Fees,2019,1204138.0,1238064.0,-33926.0,-2.74
Central Queensland,Private Patient Fees,2020,910902.0,915676.0,-4774.0,-0.52
Central Queensland,Private Patient Fees,2021,1107372.0,1133213.0,-25841.0,-2.28
Central Queensland,Private Patient Fees,2022,1301016.0,1246969.0,54047.0,4.33
Central Queensland,Private Patient Fees,2023,1386633.0,1445016.0,-58383.0,-4.04
Central Queensland,Private Patient Fees,2024,1464790.0,1457349.0,7441.0,0.51
Central Queensland,Research Grants,2019,241748.0,235520.0,6228.0,2.64
Central Queensland,Research Grants,2020,190613.0,185233.0,5379.0,2.9
Central Queensland,Research Grants,2021,228977.0,237615.0,-8636.0,-3.63
Central Queensland,Research Grants,2022,259986.0,255231.0,4756.0,1.86
Central Queensland,Research Grants,2023,269292.0,274716.0,-5424.0,-1.97
Central Queensland,Research Grants,2024,279839.0,274877.0,4963.0,1.81
Darling Downs,Accommodation Fees,2019,157122.0,158637.0,-1516.0,-0.96
Darling Downs,Accommodation Fees,2020,119425.0,114418.0,5008.0,4.38
Darling Downs,Accommodation Fees,2021,139088.0,140089.0,-1000.0,-0.71
Darling Downs,Accommodation Fees,2022,158805.0,156842.0,1962.0,1.25
Darling Downs,Accommodation Fees,2023,161993.0,160451.0,1542.0,0.96
Darling Downs,Accommodation Fees,2024,176671.0,172303.0,4369.0,2.54
Darling Downs,Cafeteria & Food Services,2019,377317.0,368234.0,9084.0,2.47
Darling Downs,Cafeteria & Food Services,2020,271187.0,281282.0,-10094.0,-3.59
Darling Downs,Cafeteria & Food Services,2021,364978.0,365561.0,-583.0,-0.16
Darling Downs,Cafeteria & Food Services,2022,408869.0,406630.0,2239.0,0.55
Darling Downs,Cafeteria & Food Services,2023,435389.0,423165.0,12223.0,2.89
Darling Downs,Cafeteria & Food Services,2024,445560.0,438960.0,6602.0,1.5
Darling Downs,Car Parking,2019,674923.0,652387.0,22538.0,3.45
Darling Downs,Car Parking,2020,546773.0,564351.0,-17578.0,-3.11
Darling Downs,Car Parking,2021,675128.0,664386.0,10742.0,1.62
Darling Downs,Car Parking,2022,765877.0,777980.0,-12103.0,-1.56
Darling Downs,Car Parking,2023,757680.0,779601.0,-21920.0,-2.81
Darling Downs,Car Parking,2024,783231.0,758838.0,24393.0,3.21
Darling Downs,Equipment Hire,2019,118239.0,122216.0,-3977.0,-3.25
Darling Downs,Equipment Hire,2020,92458.0,85403.0,7055.0,8.26
Darling Downs,Equipment Hire,2021,110128.0,112568.0,-2438.0,-2.17
Darling Downs,Equipment Hire,2022,125855.0,127465.0,-1610.0,-1.26
Darling Downs,Equipment Hire,2023,130123.0,126171.0,3952.0,3.13
Darling Downs,Equipment Hire,2024,133195.0,131775.0,1422.0,1.08
Darling Downs,Medical Imaging (Private),2019,347912.0,331730.0,16180.0,4.88
Darling Downs,Medical Imaging (Private),2020,252943.0,245936.0,7006.0,2.85
Darling Downs,Medical Imaging (Private),2021,315955.0,326814.0,-10861.0,-3.32
Darling Downs,Medical Imaging (Private),2022,401235.0,381900.0,19334.0,5.06
Darling Downs,Medical Imaging (Private),2023,389059.0,373396.0,15662.0,4.19
Darling Downs,Medical Imaging (Private),2024,387456.0,382469.0,4987.0,1.3
Darling Downs,Other Commercial,2019,78073.0,72975.0,5098.0,6.99
Darling Downs,Other Commercial,2020,57540.0,57871.0,-330.0,-0.57
Darling Downs,Other Commercial,2021,75634.0,74612.0,1020.0,1.37
Darling Downs,Other Commercial,2022,88369.0,85625.0,2745.0,3.21
Darling Downs,Other Commercial,2023,84298.0,79387.0,4909.0,6.18
Darling Downs,Other Commercial,2024,82909.0,82289.0,618.0,0.75
Darling Downs,Pharmacy Retail,2019,443129.0,434278.0,8851.0,2.04
Darling Downs,Pharmacy Retail,2020,344732.0,356132.0,-11401.0,-3.2
Darling Downs,Pharmacy Retail,2021,411029.0,428912.0,-17883.0,-4.17
Darling Downs,Pharmacy Retail,2022,501233.0,514050.0,-12816.0,-2.49
Darling Downs,Pharmacy Retail,2023,519142.0,522154.0,-3011.0,-0.58
Darling Downs,Pharmacy Retail,2024,554991.0,552078.0,2913.0,0.53
Darling Downs,Private Patient Fees,2019,1365805.0,1408097.0,-42292.0,-3.0
Darling Downs,Private Patient Fees,2020,1087895.0,1098865.0,-10970.0,-1.0
Darling Downs,Private Patient Fees,2021,1210331.0,1253248.0,-42916.0,-3.42
Darling Downs,Private Patient Fees,2022,1469487.0,1468183.0,1303.0,0.09
Darling Downs,Private Patient Fees,2023,1419679.0,1441632.0,-21951.0,-1.52
Darling Downs,Private Patient Fees,2024,1491576.0,1501758.0,-10184.0,-0.68
Darling Downs,Research Grants,2019,266549.0,267446.0,-898.0,-0.34
Darling Downs,Research Grants,2020,215440.0,220086.0,-4646.0,-2.11
Darling Downs,Research Grants,2021,253052.0,255403.0,-2352.0,-0.92
Darling Downs,Research Grants,2022,295079.0,288637.0,6442.0,2.23
Darling Downs,Research Grants,2023,289585.0,289897.0,-312.0,-0.11
Darling Downs,Research Grants,2024,301453.0,308472.0,-7021.0,-2.28
Gold Coast,Accommodation Fees,2019,370204.0,356056.0,14148.0,3.97
Gold Coast,Accommodation Fees,2020,273360.0,262662.0,10698.0,4.07
Gold Coast,Accommodation Fees,2021,351932.0,343826.0,8106.0,2.36
Gold Coast,Accommodation Fees,2022,361640.0,367202.0,-5562.0,-1.51
Gold Coast,Accommodation Fees,2023,379576.0,378192.0,1384.0,0.37
Gold Coast,Accommodation Fees,2024,404668.0,395084.0,9585.0,2.43
Gold Coast,Cafeteria & Food Services,2019,908813.0,925724.0,-16910.0,-1.83
Gold Coast,Cafeteria & Food Services,2020,684416.0,699245.0,-14827.0,-2.12
Gold Coast,Cafeteria & Food Services,2021,844659.0,796721.0,47938.0,6.02
Gold Coast,Cafeteria & Food Services,2022,958610.0,981062.0,-22452.0,-2.29
Gold Coast,Cafeteria & Food Services,2023,1002785.0,1006996.0,-4212.0,-0.42
Gold Coast,Cafeteria & Food Services,2024,1032795.0,1058377.0,-25581.0,-2.42
Gold Coast,Car Parking,2019,1682081.0,1638657.0,43425.0,2.65
Gold Coast,Car Parking,2020,1288461.0,1285163.0,3298.0,0.26
Gold Coast,Car Parking,2021,1526133.0,1566109.0,-39975.0,-2.55
Gold Coast,Car Parking,2022,1796747.0,1689794.0,106952.0,6.33
Gold Coast,Car Parking,2023,1824781.0,1783145.0,41637.0,2.34
Gold Coast,Car Parking,2024,1789461.0,1756949.0,32513.0,1.85
Gold Coast,Equipment Hire,2019,262422.0,259821.0,2601.0,1.0
Gold Coast,Equipment Hire,2020,220912.0,221097.0,-185.0,-0.08
Gold Coast,Equipment Hire,2021,230140.0,231890.0,-1750.0,-0.75
Gold Coast,Equipment Hire,2022,282141.0,288522.0,-6380.0,-2.21
Gold Coast,Equipment Hire,2023,307203.0,308734.0,-1530.0,-0.5
Gold Coast,Equipment Hire,2024,309752.0,306790.0,2961.0,0.97
Gold Coast,Medical Imaging (Private),2019,770862.0,766357.0,4505.0,0.59
Gold Coast,Medical Imaging (Private),2020,625764.0,646663.0,-20899.0,-3.23
Gold Coast,Medical Imaging (Private),2021,761099.0,720227.0,40871.0,5.67
Gold Coast,Medical Imaging (Private),2022,843432.0,824188.0,19244.0,2.33
Gold Coast,Medical Imaging (Private),2023,910014.0,937146.0,-27132.0,-2.9
Gold Coast,Medical Imaging (Private),2024,924822.0,916042.0,8780.0,0.96
Gold Coast,Other Commercial,2019,175610.0,172499.0,3111.0,1.8
Gold Coast,Other Commercial,2020,144486.0,150421.0,-5934.0,-3.94
Gold Coast,Other Commercial,2021,162045.0,170552.0,-8507.0,-4.99
Gold Coast,Other Commercial,2022,201695.0,200476.0,1220.0,0.61
Gold Coast,Other Commercial,2023,199994.0,199375.0,619.0,0.31
Gold Coast,Other Commercial,2024,203174.0,202664.0,510.0,0.25
Gold Coast,Pharmacy Retail,2019,1078666.0,1102547.0,-23882.0,-2.17
Gold Coast,Pharmacy Retail,2020,852207.0,900452.0,-48243.0,-5.36
Gold Coast,Pharmacy Retail,2021,974297.0,982647.0,-8351.0,-0.85
Gold Coast,Pharmacy Retail,2022,1166729.0,1199543.0,-32813.0,-2.74
Gold Coast,Pharmacy Retail,2023,1130290.0,1135566.0,-5275.0,-0.46
Gold Coast,Pharmacy Retail,2024,1230712.0,1153138.0,77574.0,6.73
Gold Coast,Private Patient Fees,2019,3296445.0,3324762.0,-28316.0,-0.85
Gold Coast,Private Patient Fees,2020,2465623.0,2327577.0,138045.0,5.93
Gold Coast,Private Patient Fees,2021,3031510.0,3009366.0,22144.0,0.74
Gold Coast,Private Patient Fees,2022,3209186.0,3253483.0,-44297.0,-1.36
Gold Coast,Private Patient Fees,2023,3609204.0,3655202.0,-45997.0,-1.26
Gold Coast,Private Patient Fees,2024,3494280.0,3444298.0,49982.0,1.45
Gold Coast,Research Grants,2019,593824.0,571727.0,22097.0,3.86
Gold Coast,Research Grants,2020,480040.0,477599.0,2441.0,0.51
Gold Coast,Research Grants,2021,568617.0,581671.0,-13057.0,-2.24
Gold Coast,Research Grants,2022,684134.0,692219.0,-8085.0,-1.17
Gold Coast,Research Grants,2023,671139.0,676095.0,-4957.0,-0.73
Gold Coast,Research Grants,2024,728953.0,725420.0,3534.0,0.49
Mackay,Accommodation Fees,2019,104917.0,99841.0,5075.0,5.08
Mackay,Accommodation Fees,2020,73793.0,70918.0,2876.0,4.06
Mackay,Accommodation Fees,2021,96678.0,91442.0,5237.0,5.73
Mackay,Accommodation Fees,2022,111558.0,105320.0,6237.0,5.92
Mackay,Accommodation Fees,2023,112298.0,114671.0,-2374.0,-2.07
Mackay,Accommodation Fees,2024,116316.0,118596.0,-2280.0,-1.92
Mackay,Cafeteria & Food Services,2019,245380.0,248829.0,-3449.0,-1.39
Mackay,Cafeteria & Food Services,2020,208597.0,219289.0,-10692.0,-4.88
Mackay,Cafeteria & Food Services,2021,245279.0,248779.0,-3500.0,-1.41
Mackay,Cafeteria & Food Services,2022,260590.0,255733.0,4857.0,1.9
Mackay,Cafeteria & Food Services,2023,300487.0,293302.0,7186.0,2.45
Mackay,Cafeteria & Food Services,2024,299430.0,304378.0,-4947.0,-1.63
Mackay,Car Parking,2019,451676.0,444753.0,6922.0,1.56
Mackay,Car Parking,2020,388177.0,384964.0,3212.0,0.83
Mackay,Car Parking,2021,429311.0,421068.0,8244.0,1.96
Mackay,Car Parking,2022,502050.0,489422.0,12628.0,2.58
Mackay,Car Parking,2023,507814.0,522045.0,-14232.0,-2.73
Mackay,Car Parking,2024,495440.0,481108.0,14330.0,2.98
Mackay,Equipment Hire,2019,78147.0,80017.0,-1870.0,-2.34
Mackay,Equipment Hire,2020,59331.0,57991.0,1339.0,2.31
Mackay,Equipment Hire,2021,70273.0,66994.0,3280.0,4.9
Mackay,Equipment Hire,2022,86974.0,88386.0,-1413.0,-1.6
Mackay,Equipment Hire,2023,87149.0,87168.0,-21.0,-0.02
Mackay,Equipment Hire,2024,91919.0,91075.0,847.0,0.93
Mackay,Medical Imaging (Private),2019,231116.0,233232.0,-2117.0,-0.91
Mackay,Medical Imaging (Private),2020,167625.0,169906.0,-2279.0,-1.34
Mackay,Medical Imaging (Private),2021,209438.0,206107.0,3331.0,1.62
Mackay,Medical Imaging (Private),2022,245576.0,263246.0,-17669.0,-6.71
Mackay,Medical Imaging (Private),2023,268306.0,276374.0,-8068.0,-2.92
Mackay,Medical Imaging (Private),2024,266189.0,265199.0,990.0,0.37
Mackay,Other Commercial,2019,53444.0,53822.0,-377.0,-0.7
Mackay,Other Commercial,2020,41449.0,41161.0,289.0,0.7
Mackay,Other Commercial,2021,51239.0,50747.0,492.0,0.97
Mackay,Other Commercial,2022,53375.0,57822.0,-4445.0,-7.69
Mackay,Other Commercial,2023,57645.0,58205.0,-560.0,-0.96
Mackay,Other Commercial,2024,57289.0,57544.0,-256.0,-0.44
Mackay,Pharmacy Retail,2019,310784.0,319238.0,-8454.0,-2.65
Mackay,Pharmacy Retail,2020,229984.0,228603.0,1382.0,0.6
Mackay,Pharmacy Retail,2021,295384.0,285847.0,9538.0,3.34
Mackay,Pharmacy Retail,2022,336022.0,314562.0,21460.0,6.82
Mackay,Pharmacy Retail,2023,354433.0,359998.0,-5563.0,-1.55
Mackay,Pharmacy Retail,2024,358640.0,349838.0,8802.0,2.52
Mackay,Private Patient Fees,2019,902761.0,908866.0,-6106.0,-0.67
Mackay,Private Patient Fees,2020,689717.0,682964.0,6753.0,0.99
Mackay,Private Patient Fees,2021,816850.0,780418.0,36432.0,4.67
Mackay,Private Patient Fees,2022,1020804.0,1030360.0,-9557.0,-0.93
Mackay,Private Patient Fees,2023,1042172.0,1025107.0,17065.0,1.66
Mackay,Private Patient Fees,2024,1037856.0,1047517.0,-9662.0,-0.92
Mackay,Research Grants,2019,187094.0,191293.0,-4199.0,-2.2
Mackay,Research Grants,2020,140374.0,148491.0,-8116.0,-5.47
Mackay,Research Grants,2021,164392.0,163067.0,1326.0,0.81
Mackay,Research Grants,2022,191425.0,195418.0,-3993.0,-2.04
Mackay,Research Grants,2023,201109.0,192058.0,9050.0,4.71
Mackay,Research Grants,2024,191505.0,189605.0,1900.0,1.0
Metro North,Accommodation Fees,2019,576465.0,602924.0,-26458.0,-4.39
Metro North,Accommodation Fees,2020,424541.0,414906.0,9635.0,2.32
Metro North,Accommodation Fees,2021,484659.0,502459.0,-17801.0,-3.54
Metro North,Accommodation Fees,2022,616531.0,609556.0,6975.0,1.14
Metro North,Accommodation Fees,2023,601315.0,597591.0,3723.0,0.62
Metro North,Accommodation Fees,2024,625137.0,641331.0,-16195.0,-2.53
Metro North,Cafeteria & Food Services,2019,1375576.0,1340473.0,35104.0,2.62
Metro North,Cafeteria & Food Services,2020,1056449.0,1051338.0,5111.0,0.49
Metro North,Cafeteria & Food Services,2021,1250733.0,1220810.0,29922.0,2.45
Metro North,Cafeteria & Food Services,2022,1473429.0,1433771.0,39658.0,2.77
Metro North,Cafeteria & Food Services,2023,1548075.0,1482281.0,65794.0,4.44
Metro North,Cafeteria & Food Services,2024,1566934.0,1579389.0,-12456.0,-0.79
Metro North,Car Parking,2019,2452111.0,2482021.0,-29912.0,-1.21
Metro North,Car Parking,2020,1984928.0,1954968.0,29959.0,1.53
Metro North,Car Parking,2021,2271885.0,2340469.0,-68584.0,-2.93
Metro North,Car Parking,2022,2795733.0,2864377.0,-68644.0,-2.4
Metro North,Car Parking,2023,2666426.0,2702412.0,-35988.0,-1.33
Metro North,Car Parking,2024,2693259.0,2595808.0,97451.0,3.75
Metro North,Equipment Hire,2019,404093.0,394556.0,9536.0,2.42
Metro North,Equipment Hire,2020,308334.0,312079.0,-3745.0,-1.2
Metro North,Equipment Hire,2021,367443.0,374297.0,-6854.0,-1.83
Metro North,Equipment Hire,2022,451194.0,458614.0,-7421.0,-1.62
Metro North,Equipment Hire,2023,434992.0,441983.0,-6990.0,-1.58
Metro North,Equipment Hire,2024,461720.0,456011.0,5711.0,1.25
Metro North,Medical Imaging (Private),2019,1218393.0,1204146.0,14250.0,1.18
Metro North,Medical Imaging (Private),2020,916762.0,923897.0,-7135.0,-0.77
Metro North,Medical Imaging (Private),2021,1107945.0,1104324.0,3619.0,0.33
Metro North,Medical Imaging (Private),2022,1338122.0,1379636.0,-41514.0,-3.01
Metro North,Medical Imaging (Private),2023,1373435.0,1430492.0,-57058.0,-3.99
Metro North,Medical Imaging (Private),2024,1293388.0,1285233.0,8156.0,0.63
Metro North,Other Commercial,2019,259723.0,267148.0,-7425.0,-2.78
Metro North,Other Commercial,2020,214103.0,215970.0,-1868.0,-0.86
Metro North,Other Commercial,2021,240363.0,237569.0,2792.0,1.18
Metro North,Other Commercial,2022,292153.0,277058.0,15094.0,5.45
Metro North,Other Commercial,2023,303595.0,284819.0,18776.0,6.59
Metro North,Other Commercial,2024,306626.0,293179.0,13446.0,4.59
Metro North,Pharmacy Retail,2019,1523666.0,1471253.0,52413.0,3.56
Metro North,Pharmacy Retail,2020,1229014.0,1226224.0,2787.0,0.23
Metro North,Pharmacy Retail,2021,1520842.0,1563626.0,-42786.0,-2.74
Metro North,Pharmacy Retail,2022,1848233.0,1916654.0,-68422.0,-3.57
Metro North,Pharmacy Retail,2023,1808105.0,1816692.0,-8587.0,-0.47
Metro North,Pharmacy Retail,2024,1929478.0,1888090.0,41387.0,2.19
Metro North,Private Patient Fees,2019,4713650.0,4711587.0,2063.0,0.04
Metro North,Private Patient Fees,2020,3655404.0,3630045.0,25359.0,0.7
Metro North,Private Patient Fees,2021,4631270.0,4724931.0,-93661.0,-1.98
Metro North,Private Patient Fees,2022,5182657.0,5173629.0,9029.0,0.17
Metro North,Private Patient Fees,2023,5064557.0,4891135.0,173424.0,3.55
Metro North,Private Patient Fees,2024,5311489.0,5415674.0,-104186.0,-1.92
Metro North,Research Grants,2019,885987.0,910697.0,-24709.0,-2.71
Metro North,Research Grants,2020,727182.0,715810.0,11371.0,1.59
Metro North,Research Grants,2021,831668.0,872917.0,-41249.0,-4.73
Metro North,Research Grants,2022,956887.0,896112.0,60776.0,6.78
Metro North,Research Grants,2023,1085977.0,1100049.0,-14073.0,-1.28
Metro North,Research Grants,2024,1071886.0,1081726.0,-9841.0,-0.91
Metro South,Accommodation Fees,2019,494680.0,479439.0,15242.0,3.18
Metro South,Accommodation Fees,2020,394346.0,388089.0,6257.0,1.61
Metro South,Accommodation Fees,2021,491905.0,476704.0,15200.0,3.19
Metro South,Accommodation Fees,2022,520433.0,529025.0,-8591.0,-1.62
Metro South,Accommodation Fees,2023,574989.0,610817.0,-35827.0,-5.87
Metro South,Accommodation Fees,2024,576838.0,564193.0,12647.0,2.24
Metro South,Cafeteria & Food Services,2019,1253814.0,1259014.0,-5200.0,-0.41
Metro South,Cafeteria & Food Services,2020,927261.0,897727.0,29535.0,3.29
Metro South,Cafeteria & Food Services,2021,1158418.0,1193481.0,-35063.0,-2.94
Metro South,Cafeteria & Food Services,2022,1341427.0,1287537.0,53890.0,4.19
Metro South,Cafeteria & Food Services,2023,1408845.0,1357563.0,51282.0,3.78
Metro South,Cafeteria & Food Services,2024,1480293.0,1484957.0,-4665.0,-0.31
Metro South,Car Parking,2019,2305778.0,2306857.0,-1081.0,-0.05
Metro South,Car Parking,2020,1812367.0,1781227.0,31140.0,1.75
Metro South,Car Parking,2021,2249898.0,2350851.0,-100952.0,-4.29
Metro South,Car Parking,2022,2523343.0,2509898.0,13446.0,0.54
Metro South,Car Parking,2023,2553131.0,2386292.0,166839.0,6.99
Metro South,Car Parking,2024,2701496.0,2773929.0,-72431.0,-2.61
Metro South,Equipment Hire,2019,378505.0,365531.0,12974.0,3.55
Metro South,Equipment Hire,2020,282977.0,287589.0,-4613.0,-1.6
Metro South,Equipment Hire,2021,340706.0,341318.0,-612.0,-0.18
Metro South,Equipment Hire,2022,402999.0,406735.0,-3735.0,-0.92
Metro South,Equipment Hire,2023,434201.0,401969.0,32232.0,8.02
Metro South,Equipment Hire,2024,446973.0,466615.0,-19642.0,-4.21
Metro South,Medical Imaging (Private),2019,1074622.0,1067438.0,7184.0,0.67
Metro South,Medical Imaging (Private),2020,891476.0,875940.0,15534.0,1.77
Metro South,Medical Imaging (Private),2021,1057060.0,1033247.0,23812.0,2.3
Metro South,Medical Imaging (Private),2022,1222292.0,1213390.0,8903.0,0.73
Metro South,Medical Imaging (Private),2023,1297213.0,1261102.0,36112.0,2.86
Metro South,Medical Imaging (Private),2024,1260946.0,1199774.0,61171.0,5.1
Metro South,Other Commercial,2019,250903.0,252352.0,-1448.0,-0.57
Metro South,Other Commercial,2020,205964.0,202734.0,3229.0,1.59
Metro South,Other Commercial,2021,227103.0,236558.0,-9455.0,-4.0
Metro South,Other Commercial,2022,285612.0,286118.0,-506.0,-0.18
