HHS,Year,ABF_Total,OSR_Total,NFA_Total,Total_Funding,ABF_Pct,OSR_Pct,NFA_Pct
Sunshine Coast,2019,1064756195.0,6746339.0,891982556.0,1963485090.0,54.2,0.3,45.4
Sunshine Coast,2020,982073528.0,5231511.0,925338392.0,1912643431.0,51.3,0.3,48.4
Sunshine Coast,2021,1074863758.0,6264827.0,978241111.0,2059369696.0,52.2,0.3,47.5
Sunshine Coast,2022,1218138247.0,7159738.0,964438924.0,2189736909.0,55.6,0.3,44.0
Sunshine Coast,2023,1290924603.0,7394150.0,1023337172.0,2321655925.0,55.6,0.3,44.1
Sunshine Coast,2024,1316194155.0,7557515.0,1058662660.0,2382414330.0,55.2,0.3,44.4
Torres and Cape,2019,90103021.0,581258.0,86406399.0,177090678.0,50.9,0.3,48.8
Torres and Cape,2020,84450643.0,452367.0,87602654.0,172505664.0,49.0,0.3,50.8
Torres and Cape,2021,91771399.0,535565.0,90915543.0,183222507.0,50.1,0.3,49.6
Torres and Cape,2022,101714599.0,628745.0,92183593.0,194526937.0,52.3,0.3,47.4
Torres and Cape,2023,111236249.0,648664.0,97905557.0,209790470.0,53.0,0.3,46.7
Torres and Cape,2024,112801108.0,639324.0,97319130.0,210759562.0,53.5,0.3,46.2
Townsville,2019,716701655.0,4689188.0,628626236.0,1350017079.0,53.1,0.3,46.6
Townsville,2020,669867564.0,3598207.0,643135457.0,1316601228.0,50.9,0.3,48.8
Townsville,2021,763251238.0,4309311.0,639145231.0,1406705780.0,54.3,0.3,45.4
Townsville,2022,825799059.0,5002495.0,684296196.0,1515097750.0,54.5,0.3,45.2
Townsville,2023,893028122.0,4941119.0,705229173.0,1603198414.0,55.7,0.3,44.0
Townsville,2024,933476959.0,5338160.0,726786276.0,1665601395.0,56.0,0.3,43.6
West Moreton,2019,694679315.0,4642381.0,601984812.0,1301306508.0,53.4,0.4,46.3
West Moreton,2020,641106512.0,3450420.0,617625700.0,1262182632.0,50.8,0.3,48.9
West Moreton,2021,719352003.0,4202523.0,619898014.0,1343452540.0,53.5,0.3,46.1
West Moreton,2022,814021196.0,4819494.0,641837718.0,1460678408.0,55.7,0.3,43.9
West Moreton,2023,866733671.0,4962809.0,682026153.0,1553722633.0,55.8,0.3,43.9
West Moreton,2024,899928631.0,5138487.0,691153538.0,1596220656.0,56.4,0.3,43.3
Wide Bay,2019,479154207.0,3009865.0,405161517.0,887325589.0,54.0,0.3,45.7
Wide Bay,2020,437788775.0,2353298.0,422989131.0,863131204.0,50.7,0.3,49.0
Wide Bay,2021,483772088.0,2835802.0,439258380.0,925866270.0,52.3,0.3,47.4
Wide Bay,2022,548396873.0,3364132.0,448105956.0,999866961.0,54.8,0.3,44.8
Wide Bay,2023,581361662.0,3391199.0,447539460.0,1032292321.0,56.3,0.3,43.4
Wide Bay,2024,610541241.0,3441309.0,471552062.0,1085534612.0,56.2,0.3,43.4
