HHS,Care_Type,Year,NWA_Units,ABF_Funded,Actual_Cost,Variance,Variance_Pct
Central Queensland,Admitted Acute,2023,48245.0,265926766.0,282385509.0,-16458744.0,-6.19
Central Queensland,Admitted Acute,2024,50972.5,289421979.0,297034685.0,-7612706.0,-2.63
Central Queensland,Admitted Subacute,2019,9970.6,49972423.0,51257448.0,-1285025.0,-2.57
Central Queensland,Admitted Subacute,2020,8971.3,45995657.0,47991701.0,-1996045.0,-4.34
Central Queensland,Admitted Subacute,2021,9550.1,49984936.0,52853591.0,-2868656.0,-5.74
Central Queensland,Admitted Subacute,2022,10571.3,56968716.0,59591658.0,-2622942.0,-4.6
Central Queensland,Admitted Subacute,2023,10889.9,60024969.0,62578510.0,-2553541.0,-4.25
Central Queensland,Admitted Subacute,2024,11442.8,64972239.0,65273686.0,-301448.0,-0.46
Central Queensland,Emergency Department,2019,24253.1,121556411.0,126980785.0,-5424373.0,-4.46
Central Queensland,Emergency Department,2020,21963.300000000003,112605861.0,109862513.0,2743349.0,2.44
Central Queensland,Emergency Department,2021,23588.5,123462166.0,126596660.0,-3134494.0,-2.54
Central Queensland,Emergency Department,2022,26453.4,142557288.0,146111574.0,-3554287.0,-2.49
Central Queensland,Emergency Department,2023,26413.6,145591730.0,148181500.0,-2589770.0,-1.78
Central Queensland,Emergency Department,2024,26878.3,152614645.0,155567420.0,-2952773.0,-1.93
Central Queensland,Maternity,2019,4320.0,21651776.0,22944607.0,-1292830.0,-5.97
Central Queensland,Maternity,2020,3938.7,20193078.0,20083453.0,109625.0,0.54
Central Queensland,Maternity,2021,4398.8,23023117.0,24888509.0,-1865392.0,-8.1
Central Queensland,Maternity,2022,4871.900000000001,26254362.0,27426509.0,-1172147.0,-4.46
Central Queensland,Maternity,2023,4841.6,26687523.0,28667816.0,-1980292.0,-7.42
Central Queensland,Maternity,2024,4943.3,28068209.0,29228399.0,-1160191.0,-4.13
Central Queensland,Mental Health,2019,7769.4,38940349.0,41752153.0,-2811805.0,-7.22
Central Queensland,Mental Health,2020,6795.4,34840118.0,37506055.0,-2665938.0,-7.65
Central Queensland,Mental Health,2021,7663.0,40108265.0,40064769.0,43496.0,0.11
Central Queensland,Mental Health,2022,8240.5,44408280.0,44765942.0,-357662.0,-0.81
Central Queensland,Mental Health,2023,8536.3,47051871.0,49198840.0,-2146969.0,-4.56
Central Queensland,Mental Health,2024,8730.6,49572566.0,51596540.0,-2023973.0,-4.08
Central Queensland,Outpatient,2019,18762.7,94038785.0,95761819.0,-1723034.0,-1.83
Central Queensland,Outpatient,2020,17407.1,89246099.0,90777257.0,-1531158.0,-1.72
Central Queensland,Outpatient,2021,19893.4,104122393.0,103616122.0,506271.0,0.49
Central Queensland,Outpatient,2022,21493.8,115830257.0,118813377.0,-2983119.0,-2.58
Central Queensland,Outpatient,2023,21548.9,118777935.0,123758058.0,-4980123.0,-4.19
Central Queensland,Outpatient,2024,22925.5,130170997.0,139173013.0,-9002017.0,-6.92
Darling Downs,Admitted Acute,2019,48704.8,244108560.0,256964663.0,-12856104.0,-5.27
Darling Downs,Admitted Acute,2020,44318.6,227221178.0,236679980.0,-9458801.0,-4.16
Darling Downs,Admitted Acute,2021,48393.5,253291608.0,262395165.0,-9103557.0,-3.59
Darling Downs,Admitted Acute,2022,49914.8,268990642.0,275231514.0,-6240872.0,-2.32
Darling Downs,Admitted Acute,2023,54026.0,297791493.0,303888522.0,-6097029.0,-2.05
Darling Downs,Admitted Acute,2024,54882.7,311623892.0,312249533.0,-625641.0,-0.2
Darling Downs,Admitted Subacute,2019,10694.0,53597783.0,54224421.0,-626638.0,-1.17
Darling Downs,Admitted Subacute,2020,9950.1,51014508.0,54164520.0,-3150014.0,-6.17
Darling Downs,Admitted Subacute,2021,10555.0,55244946.0,58887922.0,-3642975.0,-6.59
Darling Downs,Admitted Subacute,2022,11524.7,62106625.0,65021353.0,-2914728.0,-4.69
Darling Downs,Admitted Subacute,2023,11714.6,64570593.0,65632422.0,-1061829.0,-1.64
Darling Downs,Admitted Subacute,2024,12141.6,68940507.0,71446033.0,-2505528.0,-3.63
Darling Downs,Emergency Department,2019,25594.9,128281646.0,133942663.0,-5661017.0,-4.41
Darling Downs,Emergency Department,2020,24302.0,124596078.0,128949017.0,-4352938.0,-3.49
Darling Downs,Emergency Department,2021,26364.0,137989573.0,142071045.0,-4081472.0,-2.96
Darling Downs,Emergency Department,2022,28116.5,151519820.0,157730730.0,-6210910.0,-4.1
Darling Downs,Emergency Department,2023,29430.6,162221965.0,162029873.0,192091.0,0.12
Darling Downs,Emergency Department,2024,30539.8,173405113.0,178301178.0,-4896065.0,-2.82
Darling Downs,Maternity,2019,4677.8,23444795.0,25058952.0,-1614156.0,-6.88
Darling Downs,Maternity,2020,4416.1,22641544.0,23166802.0,-525257.0,-2.32
Darling Downs,Maternity,2021,4657.2,24376065.0,25204827.0,-828762.0,-3.4
Darling Downs,Maternity,2022,5053.2,27231958.0,28382561.0,-1150603.0,-4.23
Darling Downs,Maternity,2023,5145.5,28361802.0,28692347.0,-330543.0,-1.17
Darling Downs,Maternity,2024,5564.0,31592313.0,32833537.0,-1241223.0,-3.93
Darling Downs,Mental Health,2019,8413.2,42166530.0,46290288.0,-4123759.0,-9.78
Darling Downs,Mental Health,2020,7616.6,39050365.0,41423338.0,-2372973.0,-6.08
Darling Downs,Mental Health,2021,8179.2,42809932.0,43875162.0,-1065230.0,-2.49
Darling Downs,Mental Health,2022,9153.9,49331013.0,50099384.0,-768370.0,-1.56
Darling Downs,Mental Health,2023,9289.1,51201843.0,53348699.0,-2146857.0,-4.19
Darling Downs,Mental Health,2024,9481.9,53837904.0,57300248.0,-3462344.0,-6.43
Darling Downs,Outpatient,2019,21582.2,108169756.0,105702311.0,2467443.0,2.28
Darling Downs,Outpatient,2020,19387.9,99401961.0,101312536.0,-1910574.0,-1.92
Darling Downs,Outpatient,2021,21158.0,110741230.0,116589591.0,-5848362.0,-5.28
Darling Downs,Outpatient,2022,22276.4,120048005.0,128190740.0,-8142734.0,-6.78
Darling Downs,Outpatient,2023,23492.8,129492559.0,140498442.0,-11005884.0,-8.5
Darling Downs,Outpatient,2024,24422.0,138668666.0,136967512.0,1701154.0,1.23
Gold Coast,Admitted Acute,2019,110298.9,552817499.0,596613869.0,-43796371.0,-7.92
Gold Coast,Admitted Acute,2020,101137.0,518529034.0,539506484.0,-20977450.0,-4.05
Gold Coast,Admitted Acute,2021,109402.9,572615215.0,619678007.0,-47062793.0,-8.22
Gold Coast,Admitted Acute,2022,120108.8,647266717.0,705007652.0,-57740935.0,-8.92
Gold Coast,Admitted Acute,2023,126918.29999999999,699572859.0,748207990.0,-48635131.0,-6.95
Gold Coast,Admitted Acute,2024,122049.9,692999731.0,711938445.0,-18938713.0,-2.73
Gold Coast,Admitted Subacute,2019,24790.1,124247648.0,128624480.0,-4376832.0,-3.52
Gold Coast,Admitted Subacute,2020,22839.5,117097774.0,124828710.0,-7730936.0,-6.6
Gold Coast,Admitted Subacute,2021,24684.9,129201005.0,129987884.0,-786880.0,-0.61
Gold Coast,Admitted Subacute,2022,27087.1,145972870.0,156151524.0,-10178655.0,-6.97
Gold Coast,Admitted Subacute,2023,27256.5,150237592.0,158611672.0,-8374080.0,-5.57
Gold Coast,Admitted Subacute,2024,27101.6,153883222.0,151898351.0,1984871.0,1.29
Gold Coast,Emergency Department,2019,63447.4,317998439.0,338075379.0,-20076939.0,-6.31
Gold Coast,Emergency Department,2020,53760.5,275630141.0,276412504.0,-782363.0,-0.28
Gold Coast,Emergency Department,2021,62874.5,329084966.0,346244923.0,-17159956.0,-5.21
Gold Coast,Emergency Department,2022,67586.1,364222463.0,382557027.0,-18334565.0,-5.03
Gold Coast,Emergency Department,2023,66463.6,366347324.0,373974689.0,-7627363.0,-2.08
Gold Coast,Emergency Department,2024,68248.4,387514490.0,394480688.0,-6966198.0,-1.8
Gold Coast,Maternity,2019,11298.900000000001,56630273.0,59096690.0,-2466416.0,-4.36
Gold Coast,Maternity,2020,10071.6,51636888.0,53774648.0,-2137762.0,-4.14
Gold Coast,Maternity,2021,11318.0,59238305.0,62347237.0,-3108932.0,-5.25
Gold Coast,Maternity,2022,11611.699999999999,62575116.0,63859338.0,-1284224.0,-2.05
Gold Coast,Maternity,2023,12851.1,70835300.0,72443403.0,-1608104.0,-2.27
Gold Coast,Maternity,2024,12776.0,72542250.0,73065936.0,-523686.0,-0.72
Gold Coast,Mental Health,2019,18924.7,94850802.0,94106194.0,744609.0,0.79
Gold Coast,Mental Health,2020,17395.0,89184040.0,96004816.0,-6820773.0,-7.65
Gold Coast,Mental Health,2021,19327.0,101157595.0,105601475.0,-4443881.0,-4.39
Gold Coast,Mental Health,2022,21400.5,115327201.0,119546961.0,-4219759.0,-3.66
Gold Coast,Mental Health,2023,22069.1,121645268.0,123010631.0,-1365364.0,-1.12
Gold Coast,Mental Health,2024,22610.4,128381531.0,132409699.0,-4028167.0,-3.14
Gold Coast,Outpatient,2019,50932.2,255272221.0,259996694.0,-4724472.0,-1.85
Gold Coast,Outpatient,2020,46124.5,236480455.0,256042695.0,-19562242.0,-8.27
Gold Coast,Outpatient,2021,47867.6,250538945.0,253337740.0,-2798794.0,-1.12
Gold Coast,Outpatient,2022,54204.1,292105984.0,297000890.0,-4894904.0,-1.68
Gold Coast,Outpatient,2023,53667.6,295815875.0,306597572.0,-10781698.0,-3.64
Gold Coast,Outpatient,2024,58792.4,333823735.0,341612417.0,-7788681.0,-2.33
Mackay,Admitted Acute,2019,30812.1,154430255.0,156008881.0,-1578626.0,-1.02
Mackay,Admitted Acute,2020,29206.0,149738709.0,155490534.0,-5751828.0,-3.84
Mackay,Admitted Acute,2021,31019.2,162354114.0,170399926.0,-8045811.0,-4.96
Mackay,Admitted Acute,2022,35027.2,188761648.0,196149166.0,-7387517.0,-3.91
Mackay,Admitted Acute,2023,35152.3,193758914.0,206331803.0,-12572890.0,-6.49
Mackay,Admitted Acute,2024,35354.6,200743182.0,211055663.0,-10312480.0,-5.14
Mackay,Admitted Subacute,2019,7108.3,35626706.0,36792770.0,-1166065.0,-3.27
Mackay,Admitted Subacute,2020,6345.0,32530261.0,33520568.0,-990306.0,-3.04
Mackay,Admitted Subacute,2021,7077.1,37041059.0,38866624.0,-1825564.0,-4.93
Mackay,Admitted Subacute,2022,7648.1,41215519.0,44329031.0,-3113513.0,-7.55
Mackay,Admitted Subacute,2023,7702.9,42458731.0,45754244.0,-3295511.0,-7.76
Mackay,Admitted Subacute,2024,7666.7,43531316.0,44945592.0,-1414275.0,-3.25
Mackay,Emergency Department,2019,16771.1,84057262.0,87322140.0,-3264879.0,-3.88
Mackay,Emergency Department,2020,15078.4,77307495.0,78388684.0,-1081190.0,-1.4
Mackay,Emergency Department,2021,17291.7,90505162.0,89961238.0,543923.0,0.6
Mackay,Emergency Department,2022,18939.0,102062107.0,108284462.0,-6222357.0,-6.1
Mackay,Emergency Department,2023,19121.4,105397812.0,108982279.0,-3584467.0,-3.4
Mackay,Emergency Department,2024,19110.1,108507188.0,107857411.0,649776.0,0.6
Mackay,Maternity,2019,3030.7,15190248.0,15367270.0,-177021.0,-1.17
Mackay,Maternity,2020,2830.9,14514473.0,15387870.0,-873397.0,-6.02
Mackay,Maternity,2021,2998.2,15692858.0,16791253.0,-1098395.0,-7.0
Mackay,Maternity,2022,3414.4,18399944.0,19808293.0,-1408349.0,-7.65
Mackay,Maternity,2023,3565.0,19650258.0,20631188.0,-980932.0,-4.99
Mackay,Maternity,2024,3530.7,20047030.0,20885817.0,-838788.0,-4.18
Mackay,Mental Health,2019,5597.5,28054736.0,28216746.0,-162011.0,-0.58
Mackay,Mental Health,2020,4869.8,24967038.0,25909823.0,-942783.0,-3.78
Mackay,Mental Health,2021,5575.6,29182413.0,30736262.0,-1553849.0,-5.32
Mackay,Mental Health,2022,5857.7,31566562.0,31814459.0,-247897.0,-0.79
Mackay,Mental Health,2023,6042.5,33306295.0,35473161.0,-2166867.0,-6.51
Mackay,Mental Health,2024,6483.9,36815874.0,38594381.0,-1778507.0,-4.83
Mackay,Outpatient,2019,14631.5,73333169.0,75692271.0,-2359100.0,-3.22
Mackay,Outpatient,2020,12782.2,65534513.0,66555426.0,-1020914.0,-1.56
Mackay,Outpatient,2021,14200.7,74326183.0,78140432.0,-3814247.0,-5.13
Mackay,Outpatient,2022,14826.300000000001,79898969.0,85543802.0,-5644833.0,-7.06
Mackay,Outpatient,2023,16513.0,91019638.0,95443854.0,-4424216.0,-4.86
Mackay,Outpatient,2024,15864.3,90077912.0,92624466.0,-2546553.0,-2.83
Metro North,Admitted Acute,2019,179061.6,897456916.0,908307629.0,-10850712.0,-1.21
Metro North,Admitted Acute,2020,153651.7,787772045.0,787910717.0,-138672.0,-0.02
Metro North,Admitted Acute,2021,161271.7,844096042.0,888942622.0,-44846580.0,-5.31
Metro North,Admitted Acute,2022,180317.2,971729826.0,956252545.0,15477281.0,1.59
Metro North,Admitted Acute,2023,180543.7,995156994.0,1057847529.0,-62690534.0,-6.3
Metro North,Admitted Acute,2024,183269.9,1040606696.0,1072773704.0,-32167008.0,-3.09
Metro North,Admitted Subacute,2019,38522.7,193075780.0,201227027.0,-8151249.0,-4.22
Metro North,Admitted Subacute,2020,32382.5,166024641.0,164980643.0,1043998.0,0.63
Metro North,Admitted Subacute,2021,37502.7,196289469.0,199106044.0,-2816574.0,-1.43
Metro North,Admitted Subacute,2022,40997.7,220936900.0,236967844.0,-16030944.0,-7.26
Metro North,Admitted Subacute,2023,41301.5,227653359.0,238952274.0,-11298916.0,-4.96
Metro North,Admitted Subacute,2024,43601.7,247570753.0,249418884.0,-1848131.0,-0.75
Metro North,Emergency Department,2019,97006.2,486194897.0,498094980.0,-11900083.0,-2.45
Metro North,Emergency Department,2020,83538.1,428299563.0,442219750.0,-13920188.0,-3.25
Metro North,Emergency Department,2021,92565.0,484484762.0,502425806.0,-17941044.0,-3.7
Metro North,Emergency Department,2022,96661.20000000001,520907808.0,540293423.0,-19385616.0,-3.72
Metro North,Emergency Department,2023,104282.7,574805799.0,600068252.0,-25262452.0,-4.39
Metro North,Emergency Department,2024,99460.0,564734352.0,579475782.0,-14741431.0,-2.61
Metro North,Maternity,2019,16347.7,81934804.0,87024379.0,-5089576.0,-6.21
Metro North,Maternity,2020,15128.1,77561808.0,79693319.0,-2131512.0,-2.75
Metro North,Maternity,2021,17130.1,89658831.0,93293336.0,-3634504.0,-4.05
Metro North,Maternity,2022,18136.5,97737603.0,102957244.0,-5219641.0,-5.34
Metro North,Maternity,2023,17733.9,97749136.0,106051051.0,-8301915.0,-8.49
Metro North,Maternity,2024,18185.0,103254464.0,111272866.0,-8018403.0,-7.77
Metro North,Mental Health,2019,30036.9,150544933.0,156524755.0,-5979822.0,-3.97
Metro North,Mental Health,2020,26522.9,135982627.0,143058475.0,-7075848.0,-5.2
Metro North,Mental Health,2021,29516.6,154489750.0,158206829.0,-3717079.0,-2.41
Metro North,Mental Health,2022,30705.699999999997,165472969.0,169625731.0,-4152763.0,-2.51
Metro North,Mental Health,2023,32179.9,177374968.0,187357751.0,-9982783.0,-5.63
Metro North,Mental Health,2024,34457.5,195649869.0,200131956.0,-4482089.0,-2.29
Metro North,Outpatient,2019,75659.9,379207393.0,396399902.0,-17192510.0,-4.53
Metro North,Outpatient,2020,67477.7,345958051.0,368787741.0,-22829689.0,-6.6
Metro North,Outpatient,2021,74826.20000000001,391640516.0,390587201.0,1053315.0,0.27
Metro North,Outpatient,2022,79491.9,428381870.0,453925190.0,-25543319.0,-5.96
Metro North,Outpatient,2023,85615.2,471910452.0,489805829.0,-17895377.0,-3.79
Metro North,Outpatient,2024,86210.6,489504174.0,491013285.0,-1509110.0,-0.31
Metro South,Admitted Acute,2019,154774.9,775732041.0,801645222.0,-25913182.0,-3.34
Metro South,Admitted Acute,2020,140578.8,720747506.0,738206261.0,-17458757.0,-2.42
Metro South,Admitted Acute,2021,156653.4,819923927.0,855361654.0,-35437727.0,-4.32
Metro South,Admitted Acute,2022,165076.2,889595146.0,907115699.0,-17520551.0,-1.97
Metro South,Admitted Acute,2023,176318.8,971868754.0,986977753.0,-15108998.0,-1.55
Metro South,Admitted Acute,2024,171307.6,972684376.0,994236630.0,-21552254.0,-2.22
Metro South,Admitted Subacute,2019,36207.4,181471791.0,187147569.0,-5675779.0,-3.13
Metro South,Admitted Subacute,2020,30191.5,154791818.0,165656249.0,-10864432.0,-7.02
Metro South,Admitted Subacute,2021,33858.4,177215358.0,187176538.0,-9961179.0,-5.62
Metro South,Admitted Subacute,2022,36831.7,198485665.0,209343479.0,-10857816.0,-5.47
Metro South,Admitted Subacute,2023,39185.1,215988748.0,224534503.0,-8545755.0,-3.96
Metro South,Admitted Subacute,2024,38987.5,221371468.0,236049679.0,-14678211.0,-6.63
Metro South,Emergency Department,2019,86756.3,434822888.0,446219954.0,-11397065.0,-2.62
Metro South,Emergency Department,2020,74902.0,384022838.0,415695237.0,-31672399.0,-8.25
Metro South,Emergency Department,2021,88129.2,461268766.0,487853799.0,-26585032.0,-5.76
Metro South,Emergency Department,2022,95435.1,514299624.0,529699644.0,-15400021.0,-2.99
Metro South,Emergency Department,2023,92532.2,510037581.0,522099536.0,-12061955.0,-2.36
Metro South,Emergency Department,2024,94318.5,535540786.0,534451273.0,1089512.0,0.2
Metro South,Maternity,2019,15467.7,77524346.0,78328561.0,-804215.0,-1.04
Metro South,Maternity,2020,14061.7,72094684.0,75270592.0,-3175908.0,-4.41
Metro South,Maternity,2021,15762.4,82500692.0,84771759.0,-2271068.0,-2.75
Metro South,Maternity,2022,17132.9,92329124.0,96614355.0,-4285231.0,-4.64
Metro South,Maternity,2023,17536.0,96658126.0,102518454.0,-5860329.0,-6.06
Metro South,Maternity,2024,18306.1,103941449.0,106099852.0,-2158402.0,-2.08
Metro South,Mental Health,2019,27907.8,139873581.0,145611285.0,-5737703.0,-4.1
Metro South,Mental Health,2020,24383.8,125015464.0,125211264.0,-195800.0,-0.16
Metro South,Mental Health,2021,27389.5,143356357.0,149244419.0,-5888061.0,-4.11
Metro South,Mental Health,2022,30663.2,165244566.0,170114051.0,-4869485.0,-2.95
Metro South,Mental Health,2023,29875.0,164671076.0,168528382.0,-3857304.0,-2.34
Metro South,Mental Health,2024,30545.699999999997,173438945.0,176040530.0,-2601585.0,-1.5
Metro South,Outpatient,2019,66603.1,333815200.0,352529533.0,-18714331.0,-5.61
Metro South,Outpatient,2020,62786.3,321906095.0,323628463.0,-1722369.0,-0.54
Metro South,Outpatient,2021,70344.7,368183940.0,375621990.0,-7438050.0,-2.02
Metro South,Outpatient,2022,74276.59999999999,400276928.0,409220338.0,-8943409.0,-2.23
Metro South,Outpatient,2023,77265.9,425889650.0,425861052.0,28597.0,0.01
Metro South,Outpatient,2024,76186.6,432587831.0,444216658.0,-11628828.0,-2.69
North West,Admitted Acute,2019,9769.7,48965361.0,49680989.0,-715627.0,-1.46
North West,Admitted Acute,2020,8998.9,46137590.0,47597942.0,-1460352.0,-3.17
North West,Admitted Acute,2021,10052.0,52611920.0,53154669.0,-542749.0,-1.03
North West,Admitted Acute,2022,10777.2,58077912.0,58979976.0,-902064.0,-1.55
North West,Admitted Acute,2023,11227.0,61883183.0,62176834.0,-293651.0,-0.47
North West,Admitted Acute,2024,11377.699999999999,64602545.0,65792411.0,-1189866.0,-1.84
North West,Admitted Subacute,2019,2167.7,10864730.0,11192101.0,-327372.0,-3.01
North West,Admitted Subacute,2020,1992.0,10213371.0,10666012.0,-452641.0,-4.43
North West,Admitted Subacute,2021,2213.2,11583965.0,11766555.0,-182589.0,-1.58
North West,Admitted Subacute,2022,2366.1,12750759.0,13582979.0,-832220.0,-6.53
North West,Admitted Subacute,2023,2418.1,13328121.0,13756322.0,-428201.0,-3.21
North West,Admitted Subacute,2024,2537.6,14408815.0,14889115.0,-480299.0,-3.33
North West,Emergency Department,2019,5575.7,27945865.0,29997024.0,-2051158.0,-7.34
North West,Emergency Department,2020,4837.4,24801583.0,26352315.0,-1550732.0,-6.25
North West,Emergency Department,2021,5279.9,27634606.0,28301260.0,-666652.0,-2.41
North West,Emergency Department,2022,6172.3,33262245.0,33330929.0,-68686.0,-0.21
North West,Emergency Department,2023,6069.6,33455630.0,34246418.0,-790786.0,-2.36
North West,Emergency Department,2024,6170.9,35038249.0,36608741.0,-1570492.0,-4.48
North West,Maternity,2019,971.2,4867941.0,4781975.0,85965.0,1.77
North West,Maternity,2020,879.3,4507905.0,4804275.0,-296370.0,-6.57
North West,Maternity,2021,980.0,5129490.0,5311384.0,-181893.0,-3.55
North West,Maternity,2022,1086.6,5855553.0,5950480.0,-94928.0,-1.62
North West,Maternity,2023,1112.5,6131969.0,6519417.0,-387449.0,-6.32
North West,Maternity,2024,1119.1,6354246.0,6695051.0,-340805.0,-5.36
North West,Mental Health,2019,1749.8,8769768.0,9016058.0,-246291.0,-2.81
North West,Mental Health,2020,1615.0,8280145.0,8258309.0,21838.0,0.26
North West,Mental Health,2021,1725.9,9032960.0,9538548.0,-505588.0,-5.6
North West,Mental Health,2022,1879.7,10129230.0,10912984.0,-783753.0,-7.74
North West,Mental Health,2023,1913.8,10548929.0,11169509.0,-620579.0,-5.88
North West,Mental Health,2024,2014.3999999999999,11438285.0,12062027.0,-623742.0,-5.45
North West,Outpatient,2019,4478.1,22444432.0,22214654.0,229777.0,1.02
North West,Outpatient,2020,4054.6,20788145.0,21659828.0,-871685.0,-4.19
North West,Outpatient,2021,4599.2,24072328.0,25247717.0,-1175389.0,-4.88
North West,Outpatient,2022,4935.8,26598678.0,28263702.0,-1665025.0,-6.26
North West,Outpatient,2023,5177.6,28538382.0,28772811.0,-234428.0,-0.82
North West,Outpatient,2024,5297.2,30077080.0,30845937.0,-768858.0,-2.56
South West,Admitted Acute,2019,5701.4,28574937.0,28363408.0,211529.0,0.74
South West,Admitted Acute,2020,5423.8,27807963.0,29626124.0,-1818161.0,-6.54
South West,Admitted Acute,2021,5784.2,30274720.0,31597713.0,-1322993.0,-4.37
South West,Admitted Acute,2022,6464.9,34839460.0,35631484.0,-792024.0,-2.27
South West,Admitted Acute,2023,6449.3,35548883.0,36029974.0,-481090.0,-1.35
South West,Admitted Acute,2024,6815.6,38698586.0,39462997.0,-764412.0,-1.98
South West,Admitted Subacute,2019,1331.1,6671740.0,7176288.0,-504547.0,-7.56
South West,Admitted Subacute,2020,1201.4,6159580.0,6448071.0,-288489.0,-4.68
South West,Admitted Subacute,2021,1338.2,7004056.0,7064325.0,-60269.0,-0.86
South West,Admitted Subacute,2022,1523.0,8207677.0,8434016.0,-226341.0,-2.76
South West,Admitted Subacute,2023,1395.7,7692495.0,8204659.0,-512164.0,-6.66
South West,Admitted Subacute,2024,1478.2,8393166.0,8631241.0,-238072.0,-2.84
South West,Emergency Department,2019,3256.0,16319449.0,17180103.0,-860655.0,-5.27
South West,Emergency Department,2020,2947.7,15112742.0,14948103.0,164638.0,1.09
South West,Emergency Department,2021,3214.9,16827046.0,17407459.0,-580414.0,-3.45
South West,Emergency Department,2022,3680.7,19834816.0,20007987.0,-173171.0,-0.87
South West,Emergency Department,2023,3647.1,20102999.0,21092233.0,-989234.0,-4.92
South West,Emergency Department,2024,3754.0,21315418.0,22677016.0,-1361597.0,-6.39
South West,Maternity,2019,593.8,2975858.0,3032741.0,-56883.0,-1.91
South West,Maternity,2020,551.4,2827124.0,3015891.0,-188767.0,-6.68
South West,Maternity,2021,586.3,3068513.0,3103622.0,-35110.0,-1.14
South West,Maternity,2022,636.6,3430034.0,3540637.0,-110602.0,-3.22
South West,Maternity,2023,657.6,3624891.0,3668784.0,-43894.0,-1.21
South West,Maternity,2024,670.2,3805386.0,3833640.0,-28253.0,-0.74
