HHS,Funding_Stream,Year,Allocation,Commonwealth,State,Drawn,Undrawn,Utilisation_Pct
Central Queensland,Capital Funding,2023,31126836.0,16185955.0,14940881.0,30934217.0,192620.0,99.38
Central Queensland,Capital Funding,2024,33186068.0,17422686.0,15763382.0,31773737.0,1412330.0,95.74
Central Queensland,Indigenous Health,2019,37527814.0,18763907.0,18763907.0,36676018.0,851796.0,97.73
Central Queensland,Indigenous Health,2020,38566638.0,19476152.0,19090486.0,37396243.0,1170395.0,96.97
Central Queensland,Indigenous Health,2021,41242615.0,21033734.0,20208881.0,40593956.0,648660.0,98.43
Central Queensland,Indigenous Health,2022,41597034.0,21422472.0,20174561.0,41021340.0,575694.0,98.62
Central Queensland,Indigenous Health,2023,40763111.0,21196818.0,19566293.0,38864857.0,1898255.0,95.34
Central Queensland,Indigenous Health,2024,45214236.0,23737474.0,21476762.0,43092239.0,2121997.0,95.31
Central Queensland,Mental Health,2019,56871173.0,28435586.0,28435586.0,56381189.0,489984.0,99.14
Central Queensland,Mental Health,2020,58975615.0,29782686.0,29192929.0,55020734.0,3954881.0,93.29
Central Queensland,Mental Health,2021,61263786.0,31244531.0,30019255.0,61028734.0,235052.0,99.62
Central Queensland,Mental Health,2022,61171277.0,31503208.0,29668069.0,57603687.0,3567590.0,94.17
Central Queensland,Mental Health,2023,65265875.0,33938255.0,31327620.0,64412025.0,853850.0,98.69
Central Queensland,Mental Health,2024,64753231.0,33995446.0,30757785.0,61461758.0,3291473.0,94.92
Central Queensland,National Health Reform Agreement,2019,248511814.0,124255907.0,124255907.0,247618646.0,893169.0,99.64
Central Queensland,National Health Reform Agreement,2020,263816786.0,133227477.0,130589309.0,262949128.0,867659.0,99.67
Central Queensland,National Health Reform Agreement,2021,272388384.0,138918076.0,133470308.0,267208125.0,5180259.0,98.1
Central Queensland,National Health Reform Agreement,2022,272096167.0,140129526.0,131966641.0,260409389.0,11686778.0,95.7
Central Queensland,National Health Reform Agreement,2023,296663549.0,154265046.0,142398504.0,277744807.0,18918743.0,93.62
Central Queensland,National Health Reform Agreement,2024,294202575.0,154456352.0,139746223.0,284546158.0,9656417.0,96.72
Central Queensland,Preventive Health,2019,23761115.0,11880557.0,11880557.0,22691600.0,1069515.0,95.5
Central Queensland,Preventive Health,2020,24967979.0,12608829.0,12359150.0,24066962.0,901017.0,96.39
Central Queensland,Preventive Health,2021,25147098.0,12825020.0,12322078.0,23835020.0,1312078.0,94.78
Central Queensland,Preventive Health,2022,24700694.0,12720857.0,11979837.0,23202268.0,1498426.0,93.93
Central Queensland,Preventive Health,2023,25443698.0,13230723.0,12212975.0,23824866.0,1618832.0,93.64
Central Queensland,Preventive Health,2024,26378423.0,13848672.0,12529751.0,26044512.0,333911.0,98.73
Central Queensland,Public Health,2019,34011372.0,17005686.0,17005686.0,32234512.0,1776861.0,94.78
Central Queensland,Public Health,2020,32903695.0,16616366.0,16287329.0,31681047.0,1222648.0,96.28
Central Queensland,Public Health,2021,35110789.0,17906502.0,17204286.0,34362747.0,748042.0,97.87
Central Queensland,Public Health,2022,37356858.0,19238782.0,18118076.0,35647611.0,1709246.0,95.42
Central Queensland,Public Health,2023,37029890.0,19255543.0,17774347.0,35817692.0,1212198.0,96.73
Central Queensland,Public Health,2024,37691741.0,19788164.0,17903577.0,36683963.0,1007778.0,97.33
Central Queensland,Teaching & Research,2019,33250759.0,16625379.0,16625379.0,33090778.0,159981.0,99.52
Central Queensland,Teaching & Research,2020,33238254.0,16785318.0,16452936.0,30917287.0,2320967.0,93.02
Central Queensland,Teaching & Research,2021,34535437.0,17613073.0,16922364.0,33841688.0,693749.0,97.99
Central Queensland,Teaching & Research,2022,34995021.0,18022436.0,16972585.0,34303351.0,691670.0,98.02
Central Queensland,Teaching & Research,2023,36612426.0,19038461.0,17573964.0,34166295.0,2446131.0,93.32
Central Queensland,Teaching & Research,2024,39284780.0,20624510.0,18660271.0,38074820.0,1209960.0,96.92
Darling Downs,Capital Funding,2019,31565725.0,15782863.0,15782863.0,30177035.0,1388691.0,95.6
Darling Downs,Capital Funding,2020,31248525.0,15780505.0,15468020.0,30548904.0,699620.0,97.76
Darling Downs,Capital Funding,2021,32785535.0,16720623.0,16064912.0,32448071.0,337464.0,98.97
Darling Downs,Capital Funding,2022,32936631.0,16962365.0,15974266.0,32172015.0,764616.0,97.68
Darling Downs,Capital Funding,2023,33320237.0,17326523.0,15993714.0,31088147.0,2232090.0,93.3
Darling Downs,Capital Funding,2024,35675212.0,18729486.0,16945726.0,33522317.0,2152895.0,93.97
Darling Downs,Indigenous Health,2019,41992262.0,20996131.0,20996131.0,40288230.0,1704033.0,95.94
Darling Downs,Indigenous Health,2020,42619655.0,21522926.0,21096729.0,41610305.0,1009350.0,97.63
Darling Downs,Indigenous Health,2021,44820616.0,22858514.0,21962102.0,44377456.0,443160.0,99.01
Darling Downs,Indigenous Health,2022,45388884.0,23375275.0,22013609.0,42830010.0,2558873.0,94.36
Darling Downs,Indigenous Health,2023,47530486.0,24715853.0,22814633.0,45390768.0,2139718.0,95.5
Darling Downs,Indigenous Health,2024,49061082.0,25757068.0,23304014.0,48026187.0,1034895.0,97.89
Darling Downs,Mental Health,2019,60487160.0,30243580.0,30243580.0,56360485.0,4126676.0,93.18
Darling Downs,Mental Health,2020,65358313.0,33005948.0,32352365.0,61689574.0,3668739.0,94.39
Darling Downs,Mental Health,2021,63557822.0,32414489.0,31143333.0,62541422.0,1016401.0,98.4
Darling Downs,Mental Health,2022,69341776.0,35711015.0,33630761.0,65293011.0,4048765.0,94.16
Darling Downs,Mental Health,2023,68966354.0,35862504.0,33103850.0,66887257.0,2079097.0,96.99
Darling Downs,Mental Health,2024,73150482.0,38404003.0,34746479.0,70489171.0,2661311.0,96.36
Darling Downs,National Health Reform Agreement,2019,286049817.0,143024908.0,143024908.0,277938623.0,8111194.0,97.16
Darling Downs,National Health Reform Agreement,2020,288617289.0,145751731.0,142865558.0,272293944.0,16323345.0,94.34
Darling Downs,National Health Reform Agreement,2021,292527253.0,149188899.0,143338354.0,292520561.0,6692.0,100.0
Darling Downs,National Health Reform Agreement,2022,307805208.0,158519682.0,149285526.0,293884228.0,13920981.0,95.48
Darling Downs,National Health Reform Agreement,2023,328264747.0,170697668.0,157567079.0,322213505.0,6051242.0,98.16
Darling Downs,National Health Reform Agreement,2024,330349664.0,173433574.0,156916090.0,321438481.0,8911183.0,97.3
Darling Downs,Preventive Health,2019,26072731.0,13036366.0,13036366.0,24639585.0,1433146.0,94.5
Darling Downs,Preventive Health,2020,25378454.0,12816119.0,12562335.0,23637989.0,1740465.0,93.14
Darling Downs,Preventive Health,2021,26595326.0,13563616.0,13031710.0,24884164.0,1711163.0,93.57
Darling Downs,Preventive Health,2022,27229552.0,14023219.0,13206333.0,26423112.0,806439.0,97.04
Darling Downs,Preventive Health,2023,29277324.0,15224208.0,14053116.0,28441553.0,835771.0,97.15
Darling Downs,Preventive Health,2024,30529636.0,16028059.0,14501577.0,29160722.0,1368914.0,95.52
Darling Downs,Public Health,2019,36006341.0,18003171.0,18003171.0,35686116.0,320226.0,99.11
Darling Downs,Public Health,2020,36372551.0,18368138.0,18004413.0,34641246.0,1731305.0,95.24
Darling Downs,Public Health,2021,37782232.0,19268938.0,18513293.0,36995142.0,787090.0,97.92
Darling Downs,Public Health,2022,38878211.0,20022278.0,18855932.0,38732786.0,145425.0,99.63
Darling Downs,Public Health,2023,39720018.0,20654409.0,19065609.0,37534175.0,2185843.0,94.5
Darling Downs,Public Health,2024,40704996.0,21370123.0,19334873.0,39462921.0,1242074.0,96.95
Darling Downs,Teaching & Research,2019,34952271.0,17476136.0,17476136.0,34402130.0,550141.0,98.43
Darling Downs,Teaching & Research,2020,35625343.0,17990798.0,17634545.0,35448575.0,176768.0,99.5
Darling Downs,Teaching & Research,2021,37512610.0,19131431.0,18381179.0,36261829.0,1250780.0,96.67
Darling Downs,Teaching & Research,2022,39974619.0,20586929.0,19387690.0,38430360.0,1544259.0,96.14
Darling Downs,Teaching & Research,2023,41561266.0,21611858.0,19949408.0,40625619.0,935647.0,97.75
Darling Downs,Teaching & Research,2024,41814398.0,21952559.0,19861839.0,39808770.0,2005628.0,95.2
Gold Coast,Capital Funding,2019,69786084.0,34893042.0,34893042.0,66294648.0,3491435.0,95.0
Gold Coast,Capital Funding,2020,76550790.0,38658149.0,37892641.0,72226516.0,4324274.0,94.35
Gold Coast,Capital Funding,2021,76922364.0,39230406.0,37691959.0,74435123.0,2487241.0,96.77
Gold Coast,Capital Funding,2022,79564097.0,40975510.0,38588587.0,75281657.0,4282440.0,94.62
Gold Coast,Capital Funding,2023,79855431.0,41524824.0,38330607.0,75439044.0,4416386.0,94.47
Gold Coast,Capital Funding,2024,82697834.0,43416363.0,39281471.0,76997938.0,5699895.0,93.11
Gold Coast,Indigenous Health,2019,91718081.0,45859041.0,45859041.0,90253012.0,1465070.0,98.4
Gold Coast,Indigenous Health,2020,100835422.0,50921888.0,49913534.0,95494284.0,5341138.0,94.7
Gold Coast,Indigenous Health,2021,98820825.0,50398621.0,48422204.0,98696619.0,124206.0,99.87
Gold Coast,Indigenous Health,2022,102791787.0,52937770.0,49854017.0,97002511.0,5789277.0,94.37
Gold Coast,Indigenous Health,2023,106473482.0,55366211.0,51107271.0,105373140.0,1100342.0,98.97
Gold Coast,Indigenous Health,2024,110267943.0,57890670.0,52377273.0,107023062.0,3244881.0,97.06
Gold Coast,Mental Health,2019,147825061.0,73912530.0,73912530.0,139702307.0,8122754.0,94.51
Gold Coast,Mental Health,2020,147007694.0,74238886.0,72768809.0,139782165.0,7225529.0,95.08
Gold Coast,Mental Health,2021,155074533.0,79088012.0,75986521.0,148243460.0,6831073.0,95.59
Gold Coast,Mental Health,2022,162408962.0,83640616.0,78768347.0,159704044.0,2704919.0,98.33
Gold Coast,Mental Health,2023,159817644.0,83105175.0,76712469.0,153728833.0,6088811.0,96.19
Gold Coast,Mental Health,2024,161600860.0,84840451.0,76760408.0,159080094.0,2520766.0,98.44
Gold Coast,National Health Reform Agreement,2019,666808634.0,333404317.0,333404317.0,624762093.0,42046541.0,93.69
Gold Coast,National Health Reform Agreement,2020,663380301.0,335007052.0,328373249.0,650918843.0,12461457.0,98.12
Gold Coast,National Health Reform Agreement,2021,724186850.0,369335294.0,354851557.0,697719520.0,26467330.0,96.35
Gold Coast,National Health Reform Agreement,2022,722218498.0,371942527.0,350275972.0,686183320.0,36035179.0,95.01
Gold Coast,National Health Reform Agreement,2023,751519073.0,390789918.0,360729155.0,719672727.0,31846346.0,95.76
Gold Coast,National Health Reform Agreement,2024,744283983.0,390749091.0,353534892.0,702352678.0,41931305.0,94.37
Gold Coast,Preventive Health,2019,58233291.0,29116645.0,29116645.0,54896847.0,3336444.0,94.27
Gold Coast,Preventive Health,2020,61334295.0,30973819.0,30360476.0,57346613.0,3987682.0,93.5
Gold Coast,Preventive Health,2021,61857541.0,31547346.0,30310195.0,59446045.0,2411497.0,96.1
Gold Coast,Preventive Health,2022,67839514.0,34937350.0,32902164.0,63269093.0,4570421.0,93.26
Gold Coast,Preventive Health,2023,65538862.0,34080208.0,31458654.0,63859760.0,1679102.0,97.44
Gold Coast,Preventive Health,2024,67685632.0,35534957.0,32150675.0,65442866.0,2242766.0,96.69
Gold Coast,Public Health,2019,86005148.0,43002574.0,43002574.0,83682269.0,2322880.0,97.3
Gold Coast,Public Health,2020,87725853.0,44301556.0,43424297.0,82004758.0,5721095.0,93.48
Gold Coast,Public Health,2021,85974231.0,43846858.0,42127373.0,83502027.0,2472204.0,97.12
Gold Coast,Public Health,2022,87936942.0,45287525.0,42649417.0,83273013.0,4663929.0,94.7
Gold Coast,Public Health,2023,96121042.0,49982942.0,46138100.0,93500391.0,2620652.0,97.27
Gold Coast,Public Health,2024,99782402.0,52385761.0,47396641.0,98858648.0,923754.0,99.07
Gold Coast,Teaching & Research,2019,83339110.0,41669555.0,41669555.0,83072777.0,266334.0,99.68
Gold Coast,Teaching & Research,2020,88810447.0,44849276.0,43961171.0,87625993.0,1184454.0,98.67
Gold Coast,Teaching & Research,2021,89996653.0,45898293.0,44098360.0,84428799.0,5567854.0,93.81
Gold Coast,Teaching & Research,2022,91581829.0,47164642.0,44417187.0,90862661.0,719168.0,99.21
Gold Coast,Teaching & Research,2023,96268723.0,50059736.0,46208987.0,92807731.0,3460992.0,96.4
Gold Coast,Teaching & Research,2024,96289936.0,50552216.0,45737719.0,93635564.0,2654372.0,97.24
Mackay,Capital Funding,2019,21059785.0,10529893.0,10529893.0,19709435.0,1350351.0,93.59
Mackay,Capital Funding,2020,21912448.0,11065786.0,10846662.0,20514529.0,1397920.0,93.62
Mackay,Capital Funding,2021,21632142.0,11032392.0,10599750.0,20267284.0,1364858.0,93.69
Mackay,Capital Funding,2022,23149389.0,11921935.0,11227454.0,22858723.0,290666.0,98.74
Mackay,Capital Funding,2023,23452599.0,12195352.0,11257248.0,22684475.0,768125.0,96.72
Mackay,Capital Funding,2024,23704377.0,12444798.0,11259579.0,23492758.0,211619.0,99.11
Mackay,Indigenous Health,2019,28214587.0,14107293.0,14107293.0,26262802.0,1951785.0,93.08
Mackay,Indigenous Health,2020,27710406.0,13993755.0,13716651.0,26646149.0,1064258.0,96.16
Mackay,Indigenous Health,2021,29997835.0,15298896.0,14698939.0,29638614.0,359221.0,98.8
Mackay,Indigenous Health,2022,30777087.0,15850200.0,14926887.0,29396271.0,1380815.0,95.51
Mackay,Indigenous Health,2023,31927412.0,16602254.0,15325158.0,30321086.0,1606326.0,94.97
Mackay,Indigenous Health,2024,30867972.0,16205685.0,14662287.0,29230788.0,1637183.0,94.7
Mackay,Mental Health,2019,41549105.0,20774552.0,20774552.0,39376245.0,2172859.0,94.77
Mackay,Mental Health,2020,43297569.0,21865272.0,21432297.0,40393951.0,2903618.0,93.29
Mackay,Mental Health,2021,43029626.0,21945109.0,21084517.0,41314015.0,1715611.0,96.01
Mackay,Mental Health,2022,44166448.0,22745721.0,21420727.0,43168434.0,998014.0,97.74
Mackay,Mental Health,2023,47638759.0,24772155.0,22866604.0,45089995.0,2548764.0,94.65
Mackay,Mental Health,2024,47642139.0,25012123.0,22630016.0,45151750.0,2490389.0,94.77
Mackay,National Health Reform Agreement,2019,194709291.0,97354646.0,97354646.0,181350891.0,13358400.0,93.14
Mackay,National Health Reform Agreement,2020,196063806.0,99012222.0,97051584.0,195272377.0,791428.0,99.6
Mackay,National Health Reform Agreement,2021,201419910.0,102724154.0,98695756.0,199025593.0,2394317.0,98.81
Mackay,National Health Reform Agreement,2022,205811601.0,105992974.0,99818626.0,191508805.0,14302796.0,93.05
Mackay,National Health Reform Agreement,2023,207358607.0,107826476.0,99532131.0,203355413.0,4003194.0,98.07
Mackay,National Health Reform Agreement,2024,221016998.0,116033924.0,104983074.0,208497858.0,12519140.0,94.34
Mackay,Preventive Health,2019,16414364.0,8207182.0,8207182.0,15728280.0,686083.0,95.82
Mackay,Preventive Health,2020,17545422.0,8860438.0,8684984.0,16806001.0,739422.0,95.79
Mackay,Preventive Health,2021,18000167.0,9180085.0,8820082.0,17212320.0,787846.0,95.62
Mackay,Preventive Health,2022,18652869.0,9606227.0,9046641.0,18624495.0,28374.0,99.85
Mackay,Preventive Health,2023,19849827.0,10321910.0,9527917.0,18890360.0,959467.0,95.17
Mackay,Preventive Health,2024,20487841.0,10756117.0,9731725.0,19094754.0,1393088.0,93.2
Mackay,Public Health,2019,24024856.0,12012428.0,12012428.0,23186335.0,838521.0,96.51
Mackay,Public Health,2020,24392452.0,12318188.0,12074264.0,23423178.0,969274.0,96.03
Mackay,Public Health,2021,24589965.0,12540882.0,12049083.0,23054780.0,1535185.0,93.76
Mackay,Public Health,2022,25196656.0,12976278.0,12220378.0,24924377.0,272279.0,98.92
Mackay,Public Health,2023,27887018.0,14501249.0,13385769.0,26039451.0,1847567.0,93.37
Mackay,Public Health,2024,27484010.0,14429105.0,13054905.0,26007875.0,1476136.0,94.63
Mackay,Teaching & Research,2019,24203575.0,12101788.0,12101788.0,23661601.0,541974.0,97.76
Mackay,Teaching & Research,2020,25452192.0,12853357.0,12598835.0,24526154.0,926038.0,96.36
Mackay,Teaching & Research,2021,25625820.0,13069168.0,12556652.0,24089768.0,1536052.0,94.01
Mackay,Teaching & Research,2022,25369152.0,13065113.0,12304039.0,25365450.0,3702.0,99.99
Mackay,Teaching & Research,2023,26863204.0,13968866.0,12894338.0,25403044.0,1460160.0,94.56
Mackay,Teaching & Research,2024,28143755.0,14775471.0,13368284.0,27316254.0,827501.0,97.06
Metro North,Capital Funding,2019,104107019.0,52053510.0,52053510.0,100871791.0,3235228.0,96.89
Metro North,Capital Funding,2020,110019250.0,55559721.0,54459529.0,108203623.0,1815626.0,98.35
Metro North,Capital Funding,2021,114800438.0,58548224.0,56252215.0,110613994.0,4186445.0,96.35
Metro North,Capital Funding,2022,118376067.0,60963674.0,57412392.0,114923870.0,3452197.0,97.08
Metro North,Capital Funding,2023,124492400.0,64736048.0,59756352.0,119560631.0,4931769.0,96.04
Metro North,Capital Funding,2024,123635911.0,64908853.0,58727058.0,123556301.0,79610.0,99.94
Metro North,Indigenous Health,2019,142604482.0,71302241.0,71302241.0,137741923.0,4862559.0,96.59
Metro North,Indigenous Health,2020,148127338.0,74804306.0,73323033.0,144797912.0,3329427.0,97.75
Metro North,Indigenous Health,2021,153483988.0,78276834.0,75207154.0,147336776.0,6147212.0,95.99
Metro North,Indigenous Health,2022,154330362.0,79480137.0,74850226.0,145247992.0,9082371.0,94.11
Metro North,Indigenous Health,2023,156182006.0,81214643.0,74967363.0,147775124.0,8406882.0,94.62
Metro North,Indigenous Health,2024,172374983.0,90496866.0,81878117.0,171190540.0,1184443.0,99.31
Metro North,Mental Health,2019,218821555.0,109410777.0,109410777.0,208375162.0,10446392.0,95.23
Metro North,Mental Health,2020,223717088.0,112977130.0,110739959.0,216579171.0,7137917.0,96.81
Metro North,Mental Health,2021,232995588.0,118827750.0,114167838.0,229061595.0,3933993.0,98.31
Metro North,Mental Health,2022,242958240.0,125123494.0,117834747.0,232915064.0,10043176.0,95.87
Metro North,Mental Health,2023,238511519.0,124025990.0,114485529.0,238032307.0,479212.0,99.8
Metro North,Mental Health,2024,245019482.0,128635228.0,116384254.0,233944259.0,11075223.0,95.48
Metro North,National Health Reform Agreement,2019,947674894.0,473837447.0,473837447.0,883085461.0,64589433.0,93.18
Metro North,National Health Reform Agreement,2020,1027536696.0,518906032.0,508630665.0,991150391.0,36386306.0,96.46
Metro North,National Health Reform Agreement,2021,1079935091.0,550766896.0,529168195.0,1006666697.0,73268394.0,93.22
Metro North,National Health Reform Agreement,2022,1099112521.0,566042948.0,533069573.0,1081207408.0,17905113.0,98.37
Metro North,National Health Reform Agreement,2023,1074977774.0,558988443.0,515989332.0,1064314418.0,10663357.0,99.01
Metro North,National Health Reform Agreement,2024,1153436101.0,605553953.0,547882148.0,1140955166.0,12480935.0,98.92
Metro North,Preventive Health,2019,91584861.0,45792430.0,45792430.0,87941734.0,3643127.0,96.02
Metro North,Preventive Health,2020,94098230.0,47519606.0,46578624.0,92161271.0,1936959.0,97.94
Metro North,Preventive Health,2021,98640437.0,50306623.0,48333814.0,92109395.0,6531042.0,93.38
Metro North,Preventive Health,2022,101606766.0,52327485.0,49279282.0,100649636.0,957130.0,99.06
Metro North,Preventive Health,2023,97830507.0,50871864.0,46958643.0,97544605.0,285902.0,99.71
Metro North,Preventive Health,2024,107148798.0,56253119.0,50895679.0,106405983.0,742815.0,99.31
Metro North,Public Health,2019,127384453.0,63692227.0,63692227.0,120906342.0,6478111.0,94.91
Metro North,Public Health,2020,133120718.0,67225963.0,65894755.0,127830366.0,5290352.0,96.03
Metro North,Public Health,2021,131460205.0,67044704.0,64415500.0,123089121.0,8371084.0,93.63
Metro North,Public Health,2022,136564321.0,70330625.0,66233696.0,130846770.0,5717551.0,95.81
Metro North,Public Health,2023,136157062.0,70801672.0,65355390.0,133346497.0,2810565.0,97.94
Metro North,Public Health,2024,140958736.0,74003336.0,66955399.0,139219403.0,1739332.0,98.77
Metro North,Teaching & Research,2019,123516197.0,61758099.0,61758099.0,118695903.0,4820295.0,96.1
Metro North,Teaching & Research,2020,130111535.0,65706325.0,64405210.0,121650443.0,8461091.0,93.5
Metro North,Teaching & Research,2021,129049921.0,65815460.0,63234461.0,125549347.0,3500574.0,97.29
Metro North,Teaching & Research,2022,140019203.0,72109890.0,67909313.0,135215466.0,4803737.0,96.57
Metro North,Teaching & Research,2023,146125256.0,75985133.0,70140123.0,141934521.0,4190736.0,97.13
Metro North,Teaching & Research,2024,144967677.0,76108031.0,68859647.0,140440123.0,4527554.0,96.88
Metro South,Capital Funding,2019,102557551.0,51278776.0,51278776.0,100405194.0,2152357.0,97.9
Metro South,Capital Funding,2020,104922455.0,52985840.0,51936615.0,103958533.0,963922.0,99.08
Metro South,Capital Funding,2021,107042644.0,54591749.0,52450896.0,106314147.0,728498.0,99.32
Metro South,Capital Funding,2022,108768833.0,56015949.0,52752884.0,106904163.0,1864670.0,98.29
Metro South,Capital Funding,2023,116377235.0,60516162.0,55861073.0,114967491.0,1409744.0,98.79
Metro South,Capital Funding,2024,116461696.0,61142391.0,55319306.0,109444081.0,7017615.0,93.97
Metro South,Indigenous Health,2019,135861244.0,67930622.0,67930622.0,132302939.0,3558306.0,97.38
Metro South,Indigenous Health,2020,136115475.0,68738315.0,67377160.0,128566844.0,7548631.0,94.45
Metro South,Indigenous Health,2021,137290029.0,70017915.0,67272114.0,129340287.0,7949741.0,94.21
Metro South,Indigenous Health,2022,142413831.0,73343123.0,69070708.0,136116538.0,6297294.0,95.58
Metro South,Indigenous Health,2023,154627085.0,80406084.0,74221001.0,152978402.0,1648683.0,98.93
Metro South,Indigenous Health,2024,153821344.0,80756206.0,73065138.0,143570340.0,10251004.0,93.34
Metro South,Mental Health,2019,192598882.0,96299441.0,96299441.0,191192060.0,1406822.0,99.27
Metro South,Mental Health,2020,200715560.0,101361358.0,99354202.0,189593280.0,11122280.0,94.46
Metro South,Mental Health,2021,210263050.0,107234155.0,103028894.0,203070099.0,7192951.0,96.58
Metro South,Mental Health,2022,213418731.0,109910647.0,103508085.0,206317904.0,7100828.0,96.67
Metro South,Mental Health,2023,224451424.0,116714741.0,107736684.0,223589132.0,862292.0,99.62
Metro South,Mental Health,2024,230021755.0,120761421.0,109260333.0,222596044.0,7425710.0,96.77
Metro South,National Health Reform Agreement,2019,915989596.0,457994798.0,457994798.0,872499868.0,43489728.0,95.25
Metro South,National Health Reform Agreement,2020,912203149.0,460662590.0,451540559.0,878610706.0,33592444.0,96.32
